Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,112,2,PN468,"January 23, 2012,  05:32 PM",On the Nomination PN468,"Confirmation John M. Gerrard, of Nebraska, to be U.S. District Judge for the District of Nebraska","John M. Gerrard, of Nebraska, to be United States District Judge for the District of Nebraska",Nomination Confirmed (74-16),'1/2',26,16,0,5,48,0,0,3,0,0,0,2,74,16,0,10,
2,112,2,H.J.Res. 98,"January 26, 2012,  11:57 AM",On the Motion to Proceed H.J.Res. 98,Motion to Proceed to Consider H.J. Res. 98,"A joint resolution relating to the disapproval of the President's exercise of authority to increase the debt limit, as submitted under section 3101A of title 31, United States Code, on January 12, 2012.",Motion to Proceed Rejected (44-52),'1/2',42,1,0,4,2,49,0,0,0,2,0,0,44,52,0,4,
3,112,2,S. 2038,"January 30, 2012,  05:32 PM",On Cloture on the Motion to Proceed S. 2038,Motion to Invoke Cloture on the Motion to Proceed to Consider S. 2038,"An original bill to prohibit Members of Congress and employees of Congress from using nonpublic information derived from their official positions for personal benefit, and for other purposes.","Cloture on the Motion to Proceed Agreed to (93-2, 3/5 majority required)",'3/5',42,2,0,3,49,0,0,2,2,0,0,0,93,2,0,5,
4,112,2,,"February 2, 2012,  02:06 PM",On the Amendment S.Amdt. 1484 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Paul Amdt. No. 1484,"To require Members of Congress to certify that they are not trading using material, non-public information.",Amendment Rejected (37-61),'1/2',30,15,0,2,7,44,0,0,0,2,0,0,37,61,0,2,
5,112,2,,"February 2, 2012,  02:33 PM",On the Amendment S.Amdt. 1487 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Paul Amdt. No. 1487,"To prohibit executive branch appointees or staff holding positions that give them oversight, rule-making, loan or grant-making abilities over industries or companies in which they or their spouse have a significant financial interest.","Amendment Rejected (48-51, 3/5 majority required)",'3/5',38,8,0,1,10,41,0,0,0,2,0,0,48,51,0,1,
6,112,2,,"February 2, 2012,  02:50 PM",On the Amendment S.Amdt. 1511 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Lieberman Amdt. No. 1511,To extend the STOCK Act to ensure that the reporting requirements set forth in the STOCK Act apply to the executive branch and independent agencies.,Amendment Agreed to (81-18),'1/2',29,17,0,1,50,1,0,0,2,0,0,0,81,18,0,1,
7,112,2,,"February 2, 2012,  03:09 PM",On the Amendment S.Amdt. 1491 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Shelby Amdt. No. 1491 As Modified,To extend the STOCK Act to ensure that the reporting requirements set forth in the STOCK Act apply to the executive branch and independent agencies.,Amendment Agreed to (58-41),'1/2',46,0,0,1,12,39,0,0,0,2,0,0,58,41,0,1,
8,112,2,,"February 2, 2012,  03:39 PM",On the Amendment S.Amdt. 1472 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Toomey Amdt. No. 1472,To prohibit earmarks.,"Amendment Rejected (40-59, 3/5 majority required)",'3/5',33,13,0,1,7,44,0,0,0,2,0,0,40,59,0,1,
9,112,2,,"February 2, 2012,  03:59 PM",On the Amendment S.Amdt. 1500 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Inhofe Amdt. No. 1500,To prohibit unauthorized earmarks.,"Amendment Rejected (26-73, 3/5 majority required)",'3/5',20,26,0,1,6,45,0,0,0,2,0,0,26,73,0,1,
10,112,2,,"February 2, 2012,  04:22 PM",On the Amendment S.Amdt. 1473 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Coburn Amdt. No. 1473,To prevent the creation of duplicative and overlapping Federal programs.,"Amendment Rejected (60-39, 2/3 majority required)",'2/3',46,0,0,1,14,37,0,0,0,2,0,0,60,39,0,1,
11,112,2,,"February 2, 2012,  04:41 PM",On the Amendment S.Amdt. 1488 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),DeMint Amdt. No. 1488,To express the sense of the Senate that the Senate should pass a joint resolution proposing an amendment to the Constitution that limits the number of terms a Member of Congress may serve.,"Amendment Rejected (24-75, 3/5 majority required)",'3/5',23,23,0,1,1,50,0,0,0,2,0,0,24,75,0,1,
12,112,2,,"February 2, 2012,  05:01 PM",On the Amendment S.Amdt. 1493 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Grassley Amdt. No. 1493,To require disclosure of political intelligence activities under Lobbying Disclosure Act of 1995.,"Amendment Agreed to (60-39, 3/5 majority required)",'3/5',32,14,0,1,27,24,0,0,1,1,0,0,60,39,0,1,
13,112,2,,"February 2, 2012,  05:23 PM",On the Amendment S.Amdt. 1481 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012),Brown (OH) Amdt. No. 1481 As Modified,To prohibit financial conflicts of interest by Senators and staff.,"Amendment Rejected (26-73, 3/5 majority required)",'3/5',5,41,0,1,20,31,0,0,1,1,0,0,26,73,0,1,
14,112,2,S. 2038,"February 2, 2012,  05:42 PM",On Passage of the Bill S. 2038,S. 2038 As Amended,"An original bill to prohibit Members of Congress and employees of Congress from using nonpublic information derived from their official positions for personal benefit, and for other purposes.",Bill Passed (96-3),'1/2',44,2,0,1,50,1,0,0,2,0,0,0,96,3,0,1,
15,112,2,H.R. 658,"February 6, 2012,  05:33 PM",On the Conference Report H.R. 658,Conference Report to Accompany H.R. 658,"A bill to amend title 49, United States Code, to authorize appropriations for the Federal Aviation Administration for fiscal years 2011 through 2014, to streamline programs, create efficiencies, reduce waste, and improve aviation safety and capacity, to provide stable funding for the national aviation system, and for other purposes.","Conference Report Agreed to (75-20, 3/5 majority required)",'3/5',38,5,0,4,36,14,0,1,1,1,0,0,75,20,0,5,
16,112,2,PN524,"February 9, 2012,  02:01 PM",On the Nomination PN524,"Confirmation Cathy Ann Bencivengo, of California, to be U.S. District Judge","Cathy Ann Bencivengo, of California, to be United States District Judge for the Southern District of California",Nomination Confirmed (90-6),'1/2',37,6,0,4,51,0,0,0,2,0,0,0,90,6,0,4,
17,112,2,S. 1813,"February 9, 2012,  02:25 PM",On Cloture on the Motion to Proceed S. 1813,Motion to Invoke Cloture on the Motion to Proceed to S. 1813,"A bill to reauthorize Federal-aid highway and highway safety construction programs, and for other purposes.","Cloture on the Motion to Proceed Agreed to (85-11, 3/5 majority required)",'3/5',34,9,0,4,49,2,0,0,2,0,0,0,85,11,0,4,
18,112,2,PN864,"February 13, 2012,  05:34 PM",On the Cloture Motion PN864,"Motion to Invoke Cloture on the Nomination of Adalberto Jose Jordan, of Florida, to be U.S. Circuit Judge","Adalberto Jose Jordan, of Florida, to be United States Circuit Judge for the Eleventh Circuit","Cloture Motion Agreed to (89-5, 3/5 majority required)",'3/5',38,5,0,4,50,0,0,1,1,0,0,1,89,5,0,6,
19,112,2,PN864,"February 15, 2012,  12:02 PM",On the Nomination PN864,"Confirmation Adalberto Jose Jordan, of Florida, to be U.S. Circuit Judge for the Eleventh Circuit","Adalberto Jose Jordan, of Florida, to be United States Circuit Judge for the Eleventh Circuit",Nomination Confirmed (94-5),'1/2',41,5,0,1,51,0,0,0,2,0,0,0,94,5,0,1,
20,112,2,,"February 17, 2012,  11:11 AM",On the Cloture Motion S.Amdt. 1633 to S. 1813 (MAP-21),Motion to Invoke Cloture on the Reid Amdt. No. 1633,Of a perfecting nature.,"Cloture Motion Rejected (54-42, 3/5 majority required)",'3/5',2,42,0,3,50,0,0,1,2,0,0,0,54,42,0,4,
21,112,2,PN632,"February 17, 2012,  11:38 AM",On the Nomination PN632,"Confirmation Jesse M. Furman, of New York, to be United States District Judge","Jesse M. Furman, of New York, to be United States District Judge for the Southern District of New York",Nomination Confirmed (62-34),'1/2',10,34,0,3,50,0,0,1,2,0,0,0,62,34,0,4,
22,112,2,H.R. 3630,"February 17, 2012,  11:58 AM",On the Conference Report H.R. 3630,Conference Report to Accompany H.R. 3630,"A bill to extend the payroll tax holiday, unemployment compensation, Medicare physician payment, provide for the consideration of the Keystone XL pipeline, and for other purposes.",Conference Report Agreed to (60-36),'1/2',14,30,0,3,45,5,0,1,1,1,0,0,60,36,0,4,
23,112,2,PN631,"February 27, 2012,  05:30 PM",On the Nomination PN631,"Confirmation Margo Kitsy Brodie, of New York, to be U.S. District Judge for the Eastern District of New York","Margo Kitsy Brodie, of New York, to be United States District Judge for the Eastern District of New York",Nomination Confirmed (86-2),'1/2',39,2,0,6,45,0,0,6,2,0,0,0,86,2,0,12,
