Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,111,QUORUM,12-Jan-2010,7:07 PM,Call of the House,None,Passed,0,0,146,32,0,0,227,29,0,0,0,0,0,0,373,61
2,D,111,H J RES 64,13-Jan-2010,3:35 PM,"On Passage, Objections of the President Notwithstanding",Making further continuing appropriations for FY 2010,Failed,140,22,1,15,3,223,0,29,0,0,0,0,143,245,1,44
3,D,111,H RES 1002,13-Jan-2010,3:59 PM,On Motion to Suspend the Rules and Agree,"Honoring the life and work of Dr. Martin Luther King, Jr. and encouraging the continued commitment to the Martin Luther King, Jr. Day as a national day of service",Passed,156,0,0,22,223,0,0,32,0,0,0,0,379,0,0,54
4,D,111,H RES 860,13-Jan-2010,4:09 PM,"On Motion to Suspend the Rules and Agree, as Amended",Supporting the initiatives of Chicago Wilderness and the Children’s Outdoor Bill of Rights,Passed,151,1,0,26,218,0,0,37,0,0,0,0,369,1,0,63
5,D,111,H R 3892,13-Jan-2010,4:15 PM,On Motion to Suspend the Rules and Pass,"To designate the facility of the United States Postal Service located at 101 West Highway 64 Bypass in Roper, North Carolina, as the “E.V. Wilkins Post Office”.",Passed,151,1,0,26,205,0,0,50,0,0,0,0,356,1,0,76
6,D,111,H RES 1004,19-Jan-2010,6:58 PM,On Motion to Suspend the Rules and Agree,Congratulating the Northwestern University Feinberg School of Medicine for its 150 years of commitment to advancing science and improving health,Passed,164,0,0,14,233,0,0,22,0,0,0,0,397,0,0,36
7,D,111,H RES 1015,19-Jan-2010,7:07 PM,On Motion to Suspend the Rules and Agree,Congratulating the Penn State women’s volleyball team on winning the 2009 NCAA Division I national championship,Passed,163,0,0,15,233,0,1,21,0,0,0,0,396,0,1,36
8,D,111,H RES 991,19-Jan-2010,7:14 PM,On Motion to Suspend the Rules and Agree,Commending the University of Virginia men’s soccer team for winning the 2009 Division I NCAA National Championship,Passed,164,0,0,14,234,0,2,19,0,0,0,0,398,0,2,33
9,D,111,H RES 1017,20-Jan-2010,2:29 PM,On Ordering the Previous Question,"Rule providing for consideration of H.R. 3254, H.R. 3342, and H.R. 1065",Passed,0,167,0,11,239,8,0,8,0,0,0,0,239,175,0,19
10,D,111,H R 3726,20-Jan-2010,2:44 PM,"On Motion to Suspend the Rules and Pass, as Amended",Castle Nugent National Historic Site Establishment Act of 2010,Failed,0,169,0,9,241,4,0,10,0,0,0,0,241,173,0,19
11,D,111,H R 3538,20-Jan-2010,2:56 PM,"On Motion to Suspend the Rules and Pass, as Amended",Idaho Wilderness Water Resources Protection Act,Failed,164,4,0,10,61,187,0,7,0,0,0,0,225,191,0,17
12,D,111,H R 3254,21-Jan-2010,12:28 PM,On Passage,Taos Pueblo Indian Water Rights Settlement Act,Passed,14,153,0,11,240,5,0,10,0,0,0,0,254,158,0,21
13,D,111,H R 3342,21-Jan-2010,12:35 PM,On Passage,Aamodt Litigation Settlement Act,Passed,15,149,0,14,234,4,0,17,0,0,0,0,249,153,0,31
14,D,111,H R 1065,21-Jan-2010,12:43 PM,On Passage,White Mountain Apache Tribe Water Rights Quantification Act of 2009,Passed,19,143,0,16,243,4,0,8,0,0,0,0,262,147,0,24
15,D,111,H RES 1021,21-Jan-2010,12:52 PM,On Motion to Suspend the Rules and Agree,"Expressing condolences to and solidarity with the people of Haiti in the aftermath of the devastating earthquake of January 12, 2010",Passed,165,1,0,12,246,0,0,9,0,0,0,0,411,1,0,21
16,D,111,H R 730,21-Jan-2010,1:06 PM,Suspend the Rules and Concur in the Senate Amendment,Nuclear Forensics and Attribution Act,Passed,155,9,0,14,242,1,0,12,0,0,0,0,397,10,0,26
17,D,111,H RES 990,26-Jan-2010,6:59 PM,On Motion to Suspend the Rules and Agree,Expressing support for designation of January 2010 as “National Mentoring Month”,Passed,162,0,0,16,236,0,0,19,0,0,0,0,398,0,0,35
18,D,111,H RES 1011,26-Jan-2010,7:07 PM,On Motion to Suspend the Rules and Agree,Recognizing the importance of cervical health and of detecting cervical cancer during its earliest stages and supporting the goals and ideals of Cervical Health Awareness Month,Passed,161,0,0,17,239,0,0,16,0,0,0,0,400,0,0,33
19,D,111,H RES 1003,26-Jan-2010,7:15 PM,"On Motion to Suspend the Rules and Agree, as Amended","Expressing support for the designation of January 10, 2010, through January 16, 2010, as National Influenza Vaccination Week",Passed,161,1,0,16,237,1,0,17,0,0,0,0,398,2,0,33
20,D,111,H RES 1038,27-Jan-2010,12:00 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 3726, Castle Nugent National Historic Site Establishment Act of 2010; and H.R. 4474, Idaho Wilderness Water Facilities Act",Passed,2,166,0,10,232,8,0,15,0,0,0,0,234,174,0,25
21,D,111,H RES 1024,27-Jan-2010,12:08 PM,On Motion to Suspend the Rules and Agree,Expressing support for designation of January as Poverty in America Awareness Month,Passed,145,18,0,15,242,0,0,13,0,0,0,0,387,18,0,28
22,D,111,H R 4474,27-Jan-2010,1:53 PM,On Passage,Idaho Wilderness Water Facilities Act,Passed,170,0,0,8,245,0,0,10,0,0,0,0,415,0,0,18
23,D,111,H R 3726,27-Jan-2010,2:02 PM,On Passage,Castle Nugent National Historic Site Establishment Act of 2010,Passed,0,171,0,7,240,4,0,11,0,0,0,0,240,175,0,18
24,D,111,H R 4508,27-Jan-2010,2:09 PM,On Motion to Suspend the Rules and Pass,"To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes",Passed,165,4,0,9,245,0,0,10,0,0,0,0,410,4,0,19
25,D,111,H RES 1020,27-Jan-2010,2:17 PM,On Motion to Suspend the Rules and Agree,Honoring the 95th anniversary of the signing of the Rocky Mountain National Park Act,Passed,167,0,0,11,241,0,0,14,0,0,0,0,408,0,0,25
