Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,107,QUORUM,23-Jan-2002,12:28 PM,Call of the House,None,Passed,0,0,181,41,0,0,165,46,0,0,1,1,0,0,347,88
2,R,107,H R 700,23-Jan-2002,2:15 PM,On Motion to Suspend the Rules and Agree to Senate Amendment,To reauthorize the Asian Elephant Conservation Act,Passed,169,22,0,30,179,0,0,32,1,1,0,0,349,23,0,62
3,R,107,H R 2234,23-Jan-2002,2:28 PM,"On Motion to Suspend the Rules and Pass, As Amended",Tumacacori National Historical Park Boundary Revision Act,Passed,175,13,0,33,180,0,0,31,1,1,0,0,356,14,0,64
4,R,107,S 1762,24-Jan-2002,11:24 AM,On Passage,Higher Education Act Amendments,Passed,190,3,0,28,180,0,0,31,2,0,0,0,372,3,0,59
5,R,107,H RES 335,29-Jan-2002,5:28 PM,On Motion to Suspend Rules and Agree,A resolution honoring the contributions of Catholic Schools.,Passed,197,0,1,23,189,0,0,22,2,0,0,0,388,0,1,45
6,R,107,H R 577,5-Feb-2002,6:53 PM,"On Motion to Suspend the Rules and Pass, as amended",To require any organization that is established for the purpose of raising funds for the creation of a Presidential archival depository to disclose the sources and amounts of any funds raised.,Passed,203,2,0,16,187,1,0,23,2,0,0,0,392,3,0,39
7,R,107,S 970,5-Feb-2002,7:01 PM,On Motion to Suspend the Rules and Pass,"Designating the facility of the US Postal Service located at 39 Tremont Street, Paris Hill, Maine, as the Horatio King Post Office Building.",Passed,202,0,0,19,190,0,0,21,2,0,0,0,394,0,0,40
8,R,107,H RES 342,6-Feb-2002,11:57 AM,On Ordering the Previous Question,Providing for the Consideration of Motions to Suspend the Rules,Passed,211,0,0,10,0,203,0,8,1,1,0,0,212,204,0,18
9,R,107,S 1888,6-Feb-2002,12:08 PM,On Motion to Suspend the Rules and Pass,Correct a Technical Error in the Codification of Title 36 of the United States Code,Passed,210,0,0,11,201,0,0,10,2,0,0,0,413,0,0,21
10,R,107,H CON RES 312,6-Feb-2002,1:28 PM,On Motion to Suspend the Rules and Agree,Expressing the sense of the House of Representatives that the scheduled Tax Relief Provided by the Economic Growth and Tax Relief Reconciliation Act of 2001 passed by a Bipartisan Majority in Congress should not be suspended or repealed,Failed,208,1,0,12,26,179,0,6,1,1,0,0,235,181,0,18
11,R,107,H J RES 82,6-Feb-2002,2:48 PM,On Motion to Suspend the Rules and Pass,Recognizing the 91st birthday of Ronald Reagan,Passed,207,0,0,15,200,0,4,7,1,0,0,1,408,0,4,23
12,R,107,H RES 343,7-Feb-2002,10:47 AM,On Agreeing to the Resolution,Providing for consideration of H.R. 3394; Cyber Security Research and Development Act,Passed,198,0,0,23,193,0,0,18,1,0,0,1,392,0,0,42
13,R,107,H R 3394,7-Feb-2002,11:52 AM,On Passage,Cyber Security Research and Development Act,Passed,198,12,0,11,200,0,0,11,2,0,0,0,400,12,0,22
