Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,116,QUORUM,3-Jan-2019,12:39 PM,Call by States,None,Passed,0,0,197,2,0,0,234,1,0,0,0,0,0,0,431,3
2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,D,116,H RES 5,3-Jan-2019,4:06 PM,On Motion to Table the Motion to Refer,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes",Passed,0,197,0,1,230,0,0,4,0,0,0,0,230,197,0,5
4,D,116,H RES 5,3-Jan-2019,5:25 PM,On Ordering the Previous Question,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",Passed,0,197,0,1,233,0,0,1,0,0,0,0,233,197,0,2
5,D,116,H RES 5,3-Jan-2019,5:44 PM,On Motion to Commit with Instructions,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",Failed,197,0,0,1,0,232,0,2,0,0,0,0,197,232,0,3
6,D,116,H RES 5,3-Jan-2019,6:01 PM,On Agreeing to the Resolution,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",Passed,0,194,0,4,234,0,0,0,0,0,0,0,234,194,0,4
7,D,116,H RES 6,3-Jan-2019,7:13 PM,On Agreeing to Title I of the Resolution,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",Passed,3,194,0,1,231,3,0,0,0,0,0,0,234,197,0,1
8,D,116,H J RES 1,3-Jan-2019,9:24 PM,On Motion to Recommit with Instructions,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",Failed,197,0,0,1,0,233,0,1,0,0,0,0,197,233,0,2
9,D,116,H J RES 1,3-Jan-2019,9:34 PM,On Passage,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",Passed,5,192,0,1,234,0,0,0,0,0,0,0,239,192,0,1
10,D,116,H R 21,3-Jan-2019,9:43 PM,On Motion to Recommit with Instructions,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",Failed,197,0,0,1,2,232,0,0,0,0,0,0,199,232,0,1
11,D,116,H R 21,3-Jan-2019,9:53 PM,On Passage,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",Passed,7,190,0,1,234,0,0,1,0,0,0,0,241,190,0,2
12,D,116,H RES 6,4-Jan-2019,10:42 AM,On Agreeing to Title II of the Resolution,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",Passed,184,12,0,2,234,0,0,0,0,0,0,0,418,12,0,2
13,D,116,H R 269,8-Jan-2019,6:59 PM,On Motion to Suspend the Rules and Pass,Pandemic and All-Hazards Preparedness and Advancing Innovation Act,Passed,174,17,0,8,227,0,0,7,0,0,0,0,401,17,0,15
14,D,116,H R 251,8-Jan-2019,7:17 PM,On Motion to Suspend the Rules and Pass,Chemical Facility Anti-Terrorism Standards Program Extension Act,Passed,188,3,0,8,226,0,0,8,0,0,0,0,414,3,0,16
15,D,116,JOURNAL,8-Jan-2019,7:28 PM,On Approving the Journal,None,Passed,48,135,1,15,187,26,1,20,0,0,0,0,235,161,2,35
16,D,116,H RES 28,9-Jan-2019,1:52 PM,On Ordering the Previous Question,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",Passed,0,195,0,4,231,0,0,3,0,0,0,0,231,195,0,7
17,D,116,H RES 28,9-Jan-2019,2:03 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",Passed,0,195,0,4,231,0,0,3,0,0,0,0,231,195,0,7
18,D,116,H R 226,9-Jan-2019,2:13 PM,On Motion to Suspend the Rules and Pass,Clarity on Small Business Participation in Category Management Act,Passed,183,11,0,5,231,0,0,3,0,0,0,0,414,11,0,8
19,D,116,H RES 6,9-Jan-2019,4:50 PM,On Agreeing to Title III of the Resolution,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",Passed,3,192,0,4,232,0,0,2,0,0,0,0,235,192,0,6
20,D,116,H R 264,9-Jan-2019,5:00 PM,On Motion to Recommit with Instructions,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",Failed,192,2,0,5,8,225,0,1,0,0,0,0,200,227,0,6
21,D,116,H R 264,9-Jan-2019,5:09 PM,On Passage,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",Passed,8,188,0,3,232,0,0,2,0,0,0,0,240,188,0,5
22,D,116,H R 267,10-Jan-2019,4:05 PM,On Motion to Recommit with Instructions,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",Failed,190,1,0,8,3,227,0,4,0,0,0,0,193,228,0,12
23,D,116,H R 267,10-Jan-2019,4:15 PM,On Passage,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",Passed,12,180,0,7,232,0,0,2,0,0,0,0,244,180,0,9
24,D,116,H R 265,10-Jan-2019,4:24 PM,On Motion to Recommit with Instructions,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2019, and for other purposes",Failed,192,1,0,6,5,228,0,1,0,0,0,0,197,229,0,7
25,D,116,H R 265,10-Jan-2019,4:32 PM,On Passage,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2019, and for other purposes",Passed,10,183,0,6,233,0,0,1,0,0,0,0,243,183,0,7
26,D,116,H R 266,11-Jan-2019,11:53 AM,On Motion to Recommit with Instructions,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",Failed,188,1,0,10,2,228,0,4,0,0,0,0,190,229,0,14
27,D,116,H R 266,11-Jan-2019,12:02 PM,On Passage,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",Passed,10,179,0,10,230,0,0,4,0,0,0,0,240,179,0,14
28,D,116,S 24,11-Jan-2019,12:10 PM,On Motion to Suspend the Rules and Pass,Government Employee Fair Treatment Act,Passed,180,7,0,12,231,0,0,4,0,0,0,0,411,7,0,16
29,D,116,H R 221,11-Jan-2019,12:23 PM,On Motion to Suspend the Rules and Pass,Special Envoy to Monitor and Combat Anti-Semitism Act,Passed,185,1,0,13,226,0,0,8,0,0,0,0,411,1,0,21
30,D,116,H R 116,14-Jan-2019,7:01 PM,On Motion to Suspend the Rules and Pass,Investing in Main Street Act,Passed,180,2,0,17,223,0,0,11,0,0,0,0,403,2,0,28
31,D,116,H J RES 27,15-Jan-2019,3:17 PM,On Motion to Suspend the Rules and Pass,"Making further continuing appropriations for fiscal year 2019, and for other purposes",Failed,6,187,0,6,231,0,0,3,0,0,0,0,237,187,0,9
32,D,116,H RES 41,15-Jan-2019,3:26 PM,On Motion to Suspend the Rules and Agree,Rejecting White nationalism and White supremacy,Passed,193,0,0,6,231,1,0,3,0,0,0,0,424,1,0,9
33,D,116,H R 135,15-Jan-2019,3:37 PM,On Motion to Suspend the Rules and Pass,Federal Employee Antidiscrimination Act,Passed,193,0,0,6,231,0,0,3,0,0,0,0,424,0,0,9
34,D,116,H RES 43,16-Jan-2019,1:55 PM,On Ordering the Previous Question,"Providing for consideration of the bill (H.R. 268) making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes, and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",Passed,0,194,0,5,230,0,0,4,0,0,0,0,230,194,0,9
35,D,116,H RES 43,16-Jan-2019,2:02 PM,On Agreeing to the Resolution,"Providing for consideration of the bill (H.R. 268) making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes, and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",Passed,0,193,0,6,230,0,0,4,0,0,0,0,230,193,0,10
36,D,116,H R 190,16-Jan-2019,2:10 PM,On Motion to Suspend the Rules and Pass,Expanding Contracting Opportunities for Small Businesses Act,Passed,188,6,0,5,227,0,0,7,0,0,0,0,415,6,0,12
37,D,116,H R 268,16-Jan-2019,5:26 PM,On Agreeing to the Amendment,None,Agreed to,4,189,0,8,226,8,0,4,0,0,0,0,230,197,0,12
38,D,116,H R 268,16-Jan-2019,5:47 PM,On Motion to Recommit with Instructions,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",Failed,193,0,0,6,0,231,0,3,0,0,0,0,193,231,0,9
39,D,116,H R 268,16-Jan-2019,5:54 PM,On Passage,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",Passed,6,187,0,6,231,0,0,3,0,0,0,0,237,187,0,9
40,D,116,H RES 52,17-Jan-2019,10:31 AM,On Agreeing to the Resolution,"Providing for consideration of the joint resolution (H.J. Res. 28) making further continuing appropriations for fiscal year 2019, and for other purposes, and providing for consideration of motions to suspend the rules",Passed,0,190,0,9,230,0,0,4,0,0,0,0,230,190,0,13
41,D,116,H R 150,17-Jan-2019,10:39 AM,On Motion to Suspend the Rules and Pass,Grant Reporting Efficiency and Agreements Transparency Act or GREAT Act,Passed,191,0,0,8,231,0,0,3,0,0,0,0,422,0,0,11
42,D,116,H J RES 30,17-Jan-2019,12:40 PM,On Motion to Suspend the Rules and Pass,Disapproving the President’s proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation,Passed,136,53,0,10,226,0,0,8,0,0,0,0,362,53,0,18
43,D,116,H J RES 28,17-Jan-2019,12:49 PM,On Motion to Recommit with Instructions,"Making further continuing appropriations for fiscal year 2019, and for other purposes",Failed,189,0,0,10,6,222,0,6,0,0,0,0,195,222,0,16
44,D,116,H R 676,22-Jan-2019,7:00 PM,On Motion to Suspend the Rules and Pass,NATO Support Act,Passed,149,22,0,28,208,0,0,26,0,0,0,0,357,22,0,54
45,D,116,H R 328,22-Jan-2019,7:10 PM,On Motion to Suspend the Rules and Pass,Hack Your State Department Act,Passed,170,3,0,26,207,0,0,27,0,0,0,0,377,3,0,53
46,D,116,H J RES 28,23-Jan-2019,1:44 PM,On Passage,"Making further continuing appropriations for fiscal year 2019, and for other purposes",Passed,6,183,0,9,223,1,0,10,0,0,0,0,229,184,0,19
47,D,116,H RES 61,23-Jan-2019,1:56 PM,On Agreeing to the Resolution,"Providing for consideration of the bill H.R. 648, and consideration of the joint resolution, H.J. Res. 31; providing for consideration of motions to suspend the rules; and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",Passed,0,189,0,9,223,1,0,10,0,0,0,0,223,190,0,19
48,D,116,H R 648,23-Jan-2019,3:44 PM,On Motion to Recommit with Instructions,"Consolidated Appropriations Act, 2019",Failed,190,0,0,8,10,215,0,9,0,0,0,0,200,215,0,17
49,D,116,H R 648,23-Jan-2019,3:54 PM,On Passage,"Consolidated Appropriations Act, 2019",Passed,10,179,0,9,224,1,0,9,0,0,0,0,234,180,0,18
50,D,116,H J RES 31,24-Jan-2019,10:40 AM,On Motion to Recommit with Instructions,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",Failed,187,0,0,11,13,214,0,7,0,0,0,0,200,214,0,18
51,D,116,H J RES 31,24-Jan-2019,10:48 AM,On Passage,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",Passed,5,179,0,14,226,1,0,7,0,0,0,0,231,180,0,21
52,D,116,H R 624,28-Jan-2019,6:57 PM,On Motion to Suspend the Rules and Pass,Promoting Transparent Standards for Corporate Insiders Act,Passed,189,3,0,6,224,0,0,10,0,0,0,0,413,3,0,16
53,D,116,H R 502,28-Jan-2019,7:05 PM,On Motion to Suspend the Rules and Pass,Fight Illicit Networks and Detect Trafficing Act,Passed,188,3,0,7,224,0,0,10,0,0,0,0,412,3,0,17
54,D,116,JOURNAL,28-Jan-2019,7:13 PM,On Approving the Journal,None,Passed,58,130,1,9,176,40,1,17,0,0,0,0,234,170,2,26
55,D,116,ADJOURN,29-Jan-2019,1:14 PM,On Motion to Adjourn,None,Failed,14,173,0,11,0,222,0,12,0,0,0,0,14,395,0,23
56,D,116,H R 428,29-Jan-2019,2:41 PM,On Motion to Suspend the Rules and Pass,Homeland Security Assessment of Terrorists’ Use of Virtual Currencies Act,Passed,191,3,0,4,231,0,0,3,0,0,0,0,422,3,0,7
57,D,116,H R 449,29-Jan-2019,2:51 PM,On Motion to Suspend the Rules and Pass,Pathways to Improving Homeland Security at the Local Level Act,Passed,183,10,0,5,229,2,0,3,0,0,0,0,412,12,0,8
58,D,116,H R 769,29-Jan-2019,3:02 PM,On Motion to Suspend the Rules and Pass,Counterterrorism Advisory Board Act,Passed,186,9,0,3,228,3,0,3,0,0,0,0,414,12,0,6
59,D,116,H RES 77,29-Jan-2019,3:17 PM,Table Motion to Reconsider,Expressing the sense of Congress that financial institutions and other companies should work proactively with their customers affected by the shutdown of the Federal Government who may be facing short-term financial hardship and long-term damage to their creditworthiness through no fault of their own,Passed,15,176,0,7,225,0,0,9,0,0,0,0,240,176,0,16
60,D,116,H RES 87,30-Jan-2019,10:30 AM,On Ordering the Previous Question,"Providing for consideration of the bill (H.R. 790) to provide for a pay increase in 2019 for certain civilian employees of the Federal Government, and for other purposes, and providing for consideration of motions to suspend the rules",Passed,0,190,0,8,232,0,0,2,0,0,0,0,232,190,0,10
61,D,116,H RES 87,30-Jan-2019,10:39 AM,On Agreeing to the Resolution,"Providing for consideration of the bill (H.R. 790) to provide for a pay increase in 2019 for certain civilian employees of the Federal Government, and for other purposes, and providing for consideration of motions to suspend the rules",Passed,0,189,0,9,231,0,0,3,0,0,0,0,231,189,0,12
62,D,116,H R 790,30-Jan-2019,1:34 PM,On Agreeing to the Amendment,None,Agreed to,8,183,0,9,235,0,0,3,0,0,0,0,243,183,0,12
63,D,116,H R 790,30-Jan-2019,1:59 PM,On Motion to Recommit with Instructions,Federal Civilian Workforce Pay Raise Fairness Act,Failed,189,1,0,8,17,215,0,2,0,0,0,0,206,216,0,10
64,D,116,H R 790,30-Jan-2019,2:08 PM,On Passage,Federal Civilian Workforce Pay Raise Fairness Act,Passed,29,161,0,8,230,0,0,4,0,0,0,0,259,161,0,12
65,D,116,H RES 79,30-Jan-2019,2:19 PM,"On Motion to Suspend the Rules and Agree, as Amended",Expressing the sense of the House of Representatives that Government shutdowns are detrimental to the Nation and should not occur,Failed,21,163,0,14,228,0,0,6,0,0,0,0,249,163,0,20
66,D,116,H R 831,6-Feb-2019,1:58 PM,On Motion to Suspend the Rules and Pass,Reviving America’s Scenic Byways Act,Passed,176,19,0,3,228,0,0,6,0,0,0,0,404,19,0,9
67,D,116,H R 66,6-Feb-2019,2:08 PM,On Motion to Suspend the Rules and Pass,Route 66 Centennial Commission Act,Passed,171,22,0,5,228,0,0,6,0,0,0,0,399,22,0,11
