Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,111,QUORUM,6-Jan-2009,12:39 PM,Call of the House,None,Passed,0,0,174,1,0,0,254,1,0,0,0,0,0,0,428,2
2
3,D,111,H RES 5,6-Jan-2009,4:08 PM,On Motion to Commit with Instructions,Adopting rules for the One Hundred Eleventh Congress,Failed,174,0,0,1,0,249,0,5,0,0,0,0,174,249,0,6
4,D,111,H RES 5,6-Jan-2009,4:31 PM,On Agreeing to the Resolution,Adopting rules for the One Hundred Eleventh Congress,Passed,0,175,0,0,242,6,0,7,0,0,0,0,242,181,0,7
5,D,111,H R 35,7-Jan-2009,12:27 PM,On Motion to Suspend the Rules and Pass,Presidential Records Act Amendments,Passed,114,58,0,3,245,0,0,9,0,0,0,0,359,58,0,12
6,D,111,H R 36,7-Jan-2009,12:41 PM,On Motion to Suspend the Rules and Pass,Presidential Library Donation Reform Act,Passed,141,31,0,5,247,0,0,8,0,0,0,0,388,31,0,13
7,D,111,H R 12,9-Jan-2009,1:08 PM,On Motion to Recommit with Instructions,Paycheck Fairness Act,Failed,169,1,0,7,9,239,0,7,0,0,0,0,178,240,0,14
8,D,111,H R 12,9-Jan-2009,1:19 PM,On Passage,Paycheck Fairness Act,Passed,10,160,0,7,246,3,0,7,0,0,0,0,256,163,0,14
9,D,111,H R 11,9-Jan-2009,1:28 PM,On Passage,Lilly Ledbetter Fair Pay Act of 2009,Passed,3,166,0,8,244,5,0,7,0,0,0,0,247,171,0,15
10,D,111,H RES 34,9-Jan-2009,1:40 PM,On Motion to Suspend the Rules and Agree,"Recognizing Israel’s right to defend itself against attacks from Gaza, reaffirming the United States’ strong support for Israel, and supporting the Israeli-Palestinian peace process",Passed,168,1,0,8,222,4,22,8,0,0,0,0,390,5,22,16
11,D,111,H RES 41,13-Jan-2009,6:59 PM,On Motion to Suspend the Rules and Agree,Supporting the goals and ideals of National Mentoring Month 2009,Passed,167,0,0,10,244,0,0,11,0,0,0,0,411,0,0,21
12,D,111,H RES 50,13-Jan-2009,7:10 PM,On Motion to Suspend the Rules and Agree,"Honoring the life of Claiborne Pell, distinguished former Senator from the State of Rhode Island",Passed,170,0,0,8,245,0,0,10,0,0,0,0,415,0,0,18
13,D,111,H RES 43,13-Jan-2009,7:19 PM,On Motion to Suspend the Rules and Agree,Recognizing the efforts of those who serve their communities on Martin Luther King Day and promoting the holiday as a day of national service,Passed,169,0,0,9,246,0,0,9,0,0,0,0,415,0,0,18
14,D,111,H RES 52,14-Jan-2009,12:25 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 2, to amend title XXI of the Social Security Act to extend and improve the Children’s Health Insurance Program, and for other purposes",Passed,0,175,0,3,244,3,0,8,0,0,0,0,244,178,0,11
15,D,111,H R 2,14-Jan-2009,2:35 PM,On Motion to Recommit with Instructions,Children’s Health Insurance Program Reauthorization Act of 2009,Failed,174,3,0,1,5,244,0,6,0,0,0,0,179,247,0,7
16,D,111,H R 2,14-Jan-2009,2:45 PM,On Passage,Children’s Health Insurance Program Reauthorization Act of 2009,Passed,40,137,0,1,249,2,0,5,0,0,0,0,289,139,0,6
17,D,111,H RES 53,14-Jan-2009,4:38 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 384, to reform the Troubled Assets Relief Program of the Secretary of the Treasury and ensure accountability under such program",Passed,0,176,0,2,235,15,0,5,0,0,0,0,235,191,0,7
18,D,111,H RES 40,14-Jan-2009,4:47 PM,"On Motion to Suspend the Rules and Agree, as Amended","Amending the Rules of the House of Representatives to require each standing committee to hold periodic hearings on the topic of waste, fraud, abuse, or mismanagement in Government programs which that committee may authorize, and for other purposes",Passed,174,0,0,4,249,0,0,7,0,0,0,0,423,0,0,11
19,D,111,H R 384,15-Jan-2009,1:37 PM,On Agreeing to the Amendment,None,Agreed to,33,142,0,3,241,10,0,8,1,0,0,1,275,152,0,12
20,D,111,H R 384,15-Jan-2009,1:47 PM,On Agreeing to the Amendment,None,Failed,148,25,0,5,3,248,0,8,0,1,0,1,151,274,0,14
