Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,104,QUORUM,3-Jan-1996,12:25 PM,Call of the House,None,Passed,0,0,209,27,0,0,156,41,0,0,0,1,0,0,365,69
2,R,104,MOTION,3-Jan-1996,1:29 PM,Table appeal of the ruling of the chair,None,Passed,205,2,1,27,1,165,0,31,0,0,0,1,206,167,1,59
3,R,104,H R 1530,3-Jan-1996,3:45 PM,"Passage, the Objections of the President Notwithstanding",National Defense Authorization Act for FY 1996,Failed,206,16,0,14,34,139,0,24,0,1,0,0,240,156,0,38
4,R,104,H R 2076,3-Jan-1996,5:24 PM,"Passage, Objection of the President Notwithstanding","Commerce, Justice, State, Judiciary Appropriations, FY 1996",Failed,218,4,0,13,22,154,0,21,0,1,0,0,240,159,0,34
5,R,104,H R 1977,4-Jan-1996,1:28 PM,"Passage, objections of the President notwithstanding",Interior Appropriations for Fiscal Year 1996,Failed,225,4,0,6,14,172,0,11,0,1,0,0,239,177,0,17
6,R,104,H RES 334,5-Jan-1996,1:01 PM,On Ordering the Previous Question,Providing for consideration of a motion to dispose of Senate amendment (Continuing Appropriations) to H.R. 1643; Bulgaria,Passed,227,0,0,8,1,186,0,10,0,1,0,0,228,187,0,18
7,R,104,H R 1643,5-Jan-1996,2:43 PM,Agree to Senate amendment with amendments,(Targeted Continuing Appropriations) Bulgaria,Passed,214,15,0,6,186,2,0,9,1,0,0,0,401,17,0,15
8,R,104,H RES 330,5-Jan-1996,4:28 PM,On Agreeing to the Resolution,Authorize the Speaker to Declare Recesses,Passed,224,3,0,8,0,186,0,11,0,1,0,0,224,190,0,19
9,R,104,H RES 336,5-Jan-1996,6:06 PM,On Ordering the Previous Question,Providing for the dispostion of the Senate amendment to H.J.Res. 134; making further continuing appropriations for F.Y. 1996,Passed,225,0,0,10,1,182,0,14,0,1,0,0,226,183,0,24
10,R,104,S 1124,5-Jan-1996,7:28 PM,Closing Portions of the Conference,National Defense Authorization Act for FY 1996,Passed,217,0,0,18,180,1,0,16,1,0,0,0,398,1,0,34
11,R,104,H RES 338,5-Jan-1996,9:23 PM,On Ordering the Previous Question,"Providing for the disposition of the Senate amendment to H.R. 1358, Targeted Continuing Appropriations and Marine Fisheries Service Laboratory Transfer",Passed,203,5,0,27,1,161,0,35,0,1,0,0,204,167,0,62
