Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,107,QUORUM,3-Jan-2001,12:36 PM,Call By States,None,Passed,0,0,219,2,0,0,208,3,0,0,2,0,0,0,429,5
2
3,R,107,H RES 5,3-Jan-2001,3:55 PM,On Motion to Commit,Adopting Rules for the One Hundred Seventh Congress,Failed,0,210,0,10,198,2,0,8,1,1,0,0,199,213,0,18
4,R,107,H RES 5,3-Jan-2001,4:15 PM,On Agreeing to the Resolution,Adopting Rules for the One Hundred Seventh Congress,Passed,213,0,0,7,1,205,0,2,1,1,0,0,215,206,0,9
5,R,107,H R 93,30-Jan-2001,6:41 PM,"On Motion to Supend the Rules and Pass, as Amended",Federal Firefighters Retirement Age Fairness Act,Passed,205,0,0,15,194,0,0,16,2,0,0,0,401,0,0,31
6,R,107,H CON RES 14,31-Jan-2001,11:55 AM,On Motion to Suspend the Rules and Agree,Permitting the Use of the Rotunda of the Capitol for a Ceremony as part of the Commemoration of the Days of Remembrance of Victims of the Holocaust,Passed,209,0,0,11,196,0,0,15,2,0,0,0,407,0,0,26
7,R,107,H CON RES 15,31-Jan-2001,12:05 PM,On Motion to Suspend the Rules and Agree,Expressing Sympathy for the Victims of the Devastating Earthquake that Struck India,Passed,208,1,0,11,196,0,0,15,2,0,0,0,406,1,0,26
8,R,107,JOURNAL,31-Jan-2001,12:15 PM,On Approving the Journal,None,Passed,200,4,0,16,181,15,0,15,1,0,0,1,382,19,0,32
9,R,107,H J RES 7,6-Feb-2001,6:27 PM,On Motion to Suspend the Rules and Pass,Recognizing the 90th birthday of Ronald Reagan,Passed,209,0,0,11,199,0,7,5,2,0,0,0,410,0,7,16
10,R,107,H RES 28,6-Feb-2001,6:39 PM,On Motion to Suspend the Rules and Agree,Honoring the contributions of Catholic schools,Passed,206,0,1,12,204,0,0,7,2,0,0,0,412,0,1,19
11,R,107,H R 132,7-Feb-2001,10:59 AM,On Motion to Suspend the Rules and Pass,"To designate the Goro Hokama Post Office Building in Lanai City, Hawaii",Passed,207,0,0,12,204,0,0,7,2,0,0,0,413,0,0,19
12,R,107,H RES 34,13-Feb-2001,6:23 PM,"On Motion to Suspend the Rules and Agree, as Amended","Congratulating the Prime Minister-elect of Israel, Airel Sharon, calling for an end to violence in the Middle East, reaffirming the friendship between the Governments of the United States and Israel",Passed,210,1,0,8,198,0,1,12,2,0,0,0,410,1,1,20
13,R,107,H R 2,13-Feb-2001,6:33 PM,"On Motion to Suspend the Rules and Pass, as Amended",Social Security and Medicare Lock-Box Act,Passed,211,0,0,8,194,2,4,11,2,0,0,0,407,2,4,19
14,R,107,H R 524,14-Feb-2001,12:42 PM,On Motion to Suspend the Rules and Pass,Electronic Commerce Enhancement Act,Passed,200,6,0,13,207,0,0,4,2,0,0,0,409,6,0,17
15,R,107,H R 554,14-Feb-2001,12:57 PM,On Passage,Rail Passenger Disaster Family Assistance Act,Passed,200,4,0,15,202,0,0,9,2,0,0,0,404,4,0,24
16,R,107,H CON RES 39,27-Feb-2001,5:27 PM,On Motion to Suspend the Rules and Agree,"Honoring the Ultimate Sacrifice Made by 28 U.S. Soldiers Killed by an Iraqi Missile Attack on February 25, 1991, During Operation Desert Storm",Passed,198,0,0,21,196,0,2,13,1,0,0,1,395,0,2,35
17,R,107,H R 256,28-Feb-2001,12:10 PM,On Motion to Suspend the Rules and Pass,Family Farmer Bankruptcy Relief Extension,Passed,205,2,0,12,201,0,0,10,2,0,0,0,408,2,0,22
18,R,107,H R 558,28-Feb-2001,12:20 PM,On Motion to Suspend the Rules and Pass,Edward N. Cahn Federal Building and United States Courthouse Designation,Passed,209,0,0,10,201,0,0,10,2,0,0,0,412,0,0,20
19,R,107,H R 621,28-Feb-2001,12:31 PM,On Motion to Suspend the Rules and Pass,James C. Corman Federal Building Designation,Passed,210,0,0,9,201,0,0,10,2,0,0,0,413,0,0,19
20,R,107,H CON RES 27,28-Feb-2001,12:38 PM,On Motion to Suspend the Rules and Agree,Honoring the National Institute of Standards and Technology and its Employees for 100 Years of Service to the Nation,Passed,209,1,0,9,202,0,0,9,2,0,0,0,413,1,0,18
21,R,107,H RES 54,28-Feb-2001,12:45 PM,On Motion to Suspend the Rules and Agree,Commending African American Pioneers in Colorado,Passed,207,0,0,12,202,0,0,9,2,0,0,0,411,0,0,21
22,R,107,H RES 71,1-Mar-2001,11:23 AM,On Agreeing to the Resolution,Providing for consideration of H.R. 333; Bankruptcy Abuse Prevention and Consumer Protection Act,Passed,212,1,0,6,68,130,0,13,1,1,0,0,281,132,0,19
23,R,107,H R 333,1-MAR-2001,2:15 PM,Jackson-Lee of Texas Amendment Number 6,None,Failed,1,211,0,7,158,46,0,7,1,1,0,0,160,258,0,14
