Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,106,QUORUM,27-Jan-2000,12:29 PM,Call of the House,None,Passed,0,0,154,67,0,0,158,53,0,0,1,1,0,0,313,121
2,R,106,H CON RES 244,31-Jan-2000,6:25 PM,Suspend the Rules and Agree,Authorizing the Use of the Rotunda for Holocaust Memorial,Passed,167,0,0,54,171,0,0,40,1,0,0,1,339,0,0,95
3,R,106,H R 2130,31-Jan-2000,6:36 PM,Suspend the Rules and Agree to Senate Amendments,Hillory J. Farias and Samantha Reid Date-Rape Prevention Drug Act of 1999,Passed,164,2,0,55,173,0,0,38,2,0,0,0,339,2,0,93
4,R,106,H R 764,1-Feb-2000,3:03 PM,Suspend the Rules and Agree to Senate Amendment,Child Abuse Prevention and Enforcement Act,Passed,208,2,0,12,200,0,0,11,2,0,0,0,410,2,0,23
5,R,106,H R 1838,1-Feb-2000,3:13 PM,On Passage,Taiwan Security Enhancement Act,Passed,200,10,0,11,140,59,0,12,1,1,0,0,341,70,0,23
6,R,106,H R 2990,1-Feb-2000,4:44 PM,On Motion to Instruct Conferees,Bipartisan Consensus Managed Care Improvement Act of 1999,Passed,6,173,28,14,200,1,0,10,1,1,0,0,207,175,28,24
7,R,106,H R 2005,2-Feb-2000,12:35 PM,On Passage,Workplace Goods Job Growth and Competitiveness Act of 1999,Passed,198,17,0,6,23,176,0,12,1,1,0,0,222,194,0,18
8,R,106,H R 1451,8-Feb-2000,6:27 PM,Suspend the Rules and Agree to Senate Amendment,Abraham Lincoln Bicentennial Commission Act,Passed,194,9,0,18,189,0,0,22,2,0,0,0,385,9,0,40
9,R,106,S 632,8-Feb-2000,6:37 PM,On Motion to Suspend the Rules and Pass,Poison Control Center Enhancement and Awareness Act,Passed,187,16,0,18,189,0,0,22,2,0,0,0,378,16,0,40
10,R,106,H RES 418,8-Feb-2000,6:46 PM,On Agreeing to the Resolution,Expressing the Condolences of the House on the Death of the Honorable Carl B. Albert,Passed,202,0,0,19,186,0,0,25,2,0,0,0,390,0,0,44
11,R,106,JOURNAL,10-Feb-2000,10:23 AM,On Approving the Journal,None,Passed,188,14,1,19,172,23,0,16,2,0,0,0,362,37,1,35
12,R,106,H RES 419,10-Feb-2000,12:02 PM,On Agreeing to the Resolution,Providing for consideration of H.R. 6; Marriage Tax Penalty Relief Act of 2000,Passed,216,0,0,5,38,164,0,9,1,1,0,0,255,165,0,14
13,R,106,H R 6,10-Feb-2000,4:06 PM,On Agreeing to the Amendment,None,Failed,0,219,0,2,191,13,0,7,1,1,0,0,192,233,0,9
14,R,106,H R 6,10-Feb-2000,4:41 PM,On Motion to Recommit with Instructions,Marriage Tax Penalty Relief Act of 2000,Failed,0,219,0,2,195,10,0,6,1,1,0,0,196,230,0,8
15,R,106,H R 6,10-Feb-2000,4:49 PM,On Passage,Marriage Tax Penalty Relief Act of 2000,Passed,219,0,0,3,48,157,0,6,1,1,0,0,268,158,0,9
16,R,106,H CON RES 247,14-Feb-2000,6:44 PM,Suspend the Rules and Agree,"Expressing the sense of Congress regarding the importance of organ, tissue, bone marrow, and blood donation and supporting National Donor Day.",Passed,197,0,0,24,180,0,0,31,2,0,0,0,379,0,0,55
17,R,106,H CON RES 76,14-Feb-2000,6:53 PM,Suspend the rules and agree,"Recognizing the social problem of child abuse and neglect, and supporting efforts to enhance public awareness of it",Passed,196,0,0,25,180,0,0,31,2,0,0,0,378,0,0,56
18,R,106,H R 3557,15-Feb-2000,12:40 PM,Suspend the Rules and Pass,"To award a Congressional gold medal to John Cardinal O’Connor, Archbishop of New York",Passed,215,1,0,6,196,0,0,15,2,0,0,0,413,1,0,21
19,R,106,H R 3642,15-Feb-2000,12:50 PM,Suspend the Rules and Pass,To authorize the President to award a gold medal on behalf of the Congress to Charles M. Schulz in recognition of his lasting artistic contributions,Passed,213,1,0,8,195,0,0,16,2,0,0,0,410,1,0,24
20,R,106,H R 3201,15-Feb-2000,3:47 PM,On Motion to Suspend the Rules and Pass,Carter G. Woodson Home National Historic Site Study Act,Passed,211,1,0,9,200,0,0,11,2,0,0,0,413,1,0,20
21,R,106,JOURNAL,15-Feb-2000,3:57 PM,On Approving the Journal,None,Passed,194,16,1,10,179,17,1,14,2,0,0,0,375,33,2,24
22,R,106,JOURNAL,16-Feb-2000,10:28 AM,On Approving the Journal,None,Passed,191,15,0,15,161,31,0,19,2,0,0,0,354,46,0,34
23,R,106,H RES 423,16-Feb-2000,11:30 AM,On Agreeing to the Resolution,Providing for consideration of H.R. 2366; Small Business Liability Reform Act of 2000,Passed,211,1,0,9,11,185,0,15,1,1,0,0,223,187,0,24
24,R,106,H R 2366,16-Feb-2000,2:12 PM,On Agreeing to the Amendment,None,Failed,4,209,0,8,173,27,0,11,1,1,0,0,178,237,0,19
25,R,106,H R 2366,16-Feb-2000,2:32 PM,On Passage,Small Business Liability Reform Act of 2000,Passed,197,17,0,7,23,175,0,13,1,1,0,0,221,193,0,20
26,R,106,S 613,29-Feb-2000,6:25 PM,On Motion to Suspend the Rules and Pass,Indian Tribal Economic Development and Contract Encouragement Act,Passed,209,1,0,11,195,1,0,15,2,0,0,0,406,2,0,26
27,R,106,H R 5,1-Mar-2000,1:16 PM,On Passage,Senior Citizens’ Freedom to Work Act,Passed,215,0,0,7,205,0,0,6,2,0,0,0,422,0,0,13
28,R,106,H R 1883,1-Mar-2000,2:13 PM,On agreeing to the Senate amendments,Iran Nonproliferation Act,Passed,216,0,0,5,202,0,0,9,2,0,0,0,420,0,0,14
29,R,106,H R 1827,8-Mar-2000,2:26 PM,On Passage,Government Waste Corrections Act,Passed,192,0,0,29,181,0,0,30,2,0,0,0,375,0,0,59
30,R,106,H R 2952,8-Mar-2000,2:35 PM,Suspend the rules and pass,"To redesignate the Facility of the U.S. Postal Service in Greenville, South Carolina as the Keith D. Oglesby Station",Passed,195,0,0,26,180,0,0,31,2,0,0,0,377,0,0,57
31,R,106,H R 3018,8-Mar-2000,2:44 PM,"Suspend the rules and pass, as amended","To designate the U.S. Postal Office in Charleston, South Carolina as the Marybelle H. Howe Post Office",Passed,195,0,0,26,178,0,0,33,2,0,0,0,375,0,0,59
32,R,106,S CON RES 91,8-Mar-2000,4:06 PM,Suspend the rules and agree,"Whereas the United States had never recognized the forcible incorporation of the Baltic states of Estonia, Latvia, and Lithuania into the former Soviet Union",Passed,199,0,0,22,184,0,0,27,1,0,0,1,384,0,0,50
33,R,106,H J RES 86,8-Mar-2000,4:16 PM,"On Motion to Suspend the Rules and Pass, as Amended",Recognizing the 50th Anniversary of the Korean War and the Service by Members of the Armed Forces,Passed,198,0,0,23,183,0,0,28,2,0,0,0,383,0,0,51
34,R,106,H RES 433,9-Mar-2000,10:58 AM,On Agreeing to the Resolution,"Providing for consideration of H.R. 1695; to provide for the conveyance of certain Federal public lands in the Ivanpah Valley, Nevada",Passed,207,0,0,14,197,0,0,14,2,0,0,0,406,0,0,28
35,R,106,JOURNAL,9-Mar-2000,11:15 AM,On Approving the Journal,None,Passed,195,15,1,10,172,30,0,9,2,0,0,0,369,45,1,19
36,R,106,H R 1695,9-Mar-2000,12:24 PM,On Agreeing to the Amendment,None,Agreed to,208,3,0,10,207,0,0,4,2,0,0,0,417,3,0,14
37,R,106,H R 1695,9-Mar-2000,1:39 PM,On Passage,Ivanpah Valley Airport Public Lands Transfer Act,Passed,210,1,0,10,208,0,0,3,2,0,0,0,420,1,0,13
38,R,106,H RES 434,9-Mar-2000,3:16 PM,On Ordering Previous Question on Resolution as Amended,Providing for the consideration of H.R. 3081 and H.R. 3846,Passed,213,1,0,7,2,206,0,3,1,1,0,0,216,208,0,10
39,R,106,H RES 434,9-Mar-2000,3:27 PM,On Agreeing to the Resolution as Amended,Providing for the consideration of H.R. 3081 and H.R. 3846,Passed,211,3,0,8,2,207,0,2,1,1,0,0,214,211,0,10
