Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,106,QUORUM,6-Jan-1999,12:29 PM,Call of the House,None,Passed,0,0,221,1,0,0,205,6,0,0,1,0,0,0,427,7
2
3,R,106,H RES 5,6-Jan-1999,3:47 PM,On Ordering the Previous Question,Adopting rules for the One Hundred Sixth Congress,Passed,216,0,0,4,0,206,0,0,0,1,0,0,216,207,0,4
4,R,106,H RES 5,6-Jan-1999,4:06 PM,On Motion to Commit with Instructions,Adopting rules for the One Hundred Sixth Congress,Failed,0,218,0,2,200,0,0,6,1,0,0,0,201,218,0,8
5,R,106,H RES 5,6-Jan-1999,4:24 PM,On Agreeing to the Resolution,Adopting rules for the One Hundred Sixth Congress,Passed,217,0,0,3,0,203,0,3,0,1,0,0,217,204,0,6
6,R,106,H RES 10,6-Jan-1999,5:58 PM,On Agreeing to the Resolution,Appointment of Managers to Conduct an Impeachment Trial,Passed,218,0,0,3,5,197,0,4,0,1,0,0,223,198,0,7
7,R,106,H R 68,2-Feb-1999,3:34 PM,"On Motion to Suspend the Rules and Pass, as Amended",Small Business Investment Company Technical Corrections Act,Passed,209,2,0,10,192,0,0,19,1,0,0,0,402,2,0,29
8,R,106,H R 432,2-Feb-1999,3:50 PM,On Motion to Suspend the Rules and Pass,Dante B. Fascell North-South Center Designation,Passed,213,0,0,8,195,0,0,16,1,0,0,0,409,0,0,24
9,R,106,H R 99,3-Feb-1999,12:23 PM,On Passage,Federal Aviation Administration Programs Extension,Passed,207,1,0,13,200,2,0,9,1,0,0,0,408,3,0,22
10,R,106,H R 98,3-Feb-1999,12:33 PM,"On Motion to Suspend the Rules and Pass, as Amended",Aviation War Risk Insurance Program Extension,Passed,204,1,0,16,202,0,0,9,1,0,0,0,407,1,0,25
11,R,106,JOURNAL,3-Feb-1999,12:41 PM,On Approving the Journal,None,Passed,196,8,0,17,186,10,1,14,1,0,0,0,383,18,1,31
