Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,103,QUORUM 1,25-Jan-1994,12:33 PM,Call of the House,None,Passed,0,0,144,31,0,0,204,53,0,0,0,1,0,0,348,85
2,D,103,MOTION,26-Jan-1994,1:59 PM,On Approving the Journal,None,Passed,24,136,0,16,222,4,0,30,1,0,0,0,247,140,0,46
3,D,103,MOTION,2-Feb-1994,2:27 PM,On Approving the Journal,None,Passed,19,148,1,8,218,6,0,32,0,0,0,1,237,154,1,41
4,D,103,H RES 312,2-Feb-1994,5:24 PM,On Agreeing to the Resolution,PROVIDING FOR CONSIDERATION OF H.R. 3425; DEPARTMENT OF ENVIRONMENTAL PROTECTION ACT,Failed,5,167,0,4,185,60,0,11,1,0,0,0,191,227,0,15
5,D,103,MOTION,3-Feb-1994,10:55 AM,On Approving the Journal,None,Passed,19,140,0,17,225,4,0,27,1,0,0,0,245,144,0,44
6,D,103,H RES 336,3-Feb-1994,12:25 PM,On Ordering the Previous Question,PROVIDING FOR THE CONSIDERATION OF H.R. 3759; EMERGENCY SUPPLEMENTAL APPROPRIATIONS,Passed,5,166,0,5,238,2,0,16,1,0,0,0,244,168,0,21
7,D,103,H RES 336,3-Feb-1994,12:43 PM,On Agreeing to the Resolution,PROVIDING FOR THE CONSIDERATION OF H.R. 3759; EMERGENCY SUPPLEMENTAL APPROPRIATIONS,Passed,107,64,0,5,234,1,0,21,1,0,0,0,342,65,0,26
8,D,103,H R 3759,3-Feb-1994,3:04 PM,On Agreeing to the Amendment,None,Failed,66,106,0,4,91,154,0,16,1,0,0,0,158,260,0,20
9,D,103,H R 3759,3-Feb-1994,4:14 PM,On Agreeing to the Amendment,None,Failed,161,10,0,5,46,200,0,15,0,1,0,0,207,211,0,20
10,D,103,H R 3759,3-Feb-1994,5:53 PM,On Agreeing to the Amendment,None,Failed,144,26,0,6,34,213,0,15,0,1,0,0,178,240,0,21
11,D,103,H R 3759,3-Feb-1994,6:20 PM,On Agreeing to the Amendment,None,Agreed to,170,1,0,5,244,1,0,17,1,0,0,0,415,2,0,22
12,D,103,H R 3759,3-Feb-1994,6:43 PM,On Motion to Recommit with Instructions,EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR F.Y. 1994,Failed,162,8,0,6,22,219,0,15,0,1,0,0,184,228,0,21
13,D,103,H R 3759,3-Feb-1994,6:52 PM,On Passage,EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR F.Y. 1994,Passed,111,59,0,6,225,15,0,16,1,0,0,0,337,74,0,22
14,D,103,MOTION,8-Feb-1994,4:30 PM,On Approving the Journal,None,Passed,17,139,0,20,217,8,0,31,1,0,0,0,235,147,0,51
15,D,103,MOTION,9-Feb-1994,12:30 PM,On Approving the Journal,None,Passed,22,146,0,8,223,5,0,28,1,0,0,0,246,151,0,36
16,D,103,H RES 352,9-Feb-1994,2:48 PM,On Ordering the Previous Question,PROVIDING FOR THE CONSIDERATION OF H.R. 811; INDEPENDENT COUNSEL REAUTHORIZATION,Passed,0,173,0,3,248,1,0,7,1,0,0,0,249,174,0,10
17,D,103,H RES 352,9-Feb-1994,3:06 PM,On Agreeing to the Resolution,PROVIDING FOR THE CONSIDERATION OF H.R. 811; INDEPENDENT COUNSEL REAUTHORIZATION,Passed,0,171,0,5,241,3,0,12,1,0,0,0,242,174,0,17
18,D,103,H R 811,10-Feb-1994,11:33 AM,On Agreeing to the Amendment,None,Failed,168,0,0,8,19,226,0,16,0,1,0,0,187,227,0,24
