Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,110,QUORUM,15-Jan-2008,7:31 PM,Call of the House,None,Passed,0,0,181,18,0,0,212,20,0,0,0,0,0,0,393,38
2,D,110,H RES 918,16-Jan-2008,12:12 PM,On Ordering the Previous Question,"Providing for consideration of H.R. 2768, to establish improved mandatory standards to protect miners during emergencies, and for other purposes",Passed,0,190,0,9,222,1,0,8,0,0,0,0,222,191,0,17
3,D,110,H RES 912,16-Jan-2008,12:20 PM,On Motion to Suspend the Rules and Agree,Condemning the assassination of former Pakistani Prime Minister Benazir Bhutto,Passed,189,0,0,10,224,0,0,8,0,0,0,0,413,0,0,18
4,D,110,H RES 921,16-Jan-2008,12:28 PM,On Motion to Suspend the Rules and Agree,"Providing for the concurrence by the House in the Senate amendment to H.R. 4253, with an amendment",Passed,185,2,0,12,221,0,0,10,0,0,0,0,406,2,0,22
5,D,110,H R 2768,16-Jan-2008,2:55 PM,On Agreeing to the Amendment,None,Agreed to,8,183,0,9,226,0,0,9,0,0,0,0,234,183,0,18
6,D,110,H R 2768,16-Jan-2008,3:02 PM,On Agreeing to the Amendment,None,Agreed to,138,53,0,9,226,0,0,9,0,0,0,0,364,53,0,18
7,D,110,H R 2768,16-Jan-2008,3:08 PM,On Agreeing to the Amendment,None,Agreed to,189,0,0,11,227,0,0,8,0,0,0,0,416,0,0,19
8,D,110,H R 2768,16-Jan-2008,3:16 PM,On Agreeing to the Amendment,None,Failed,185,5,0,10,3,224,0,8,0,0,0,0,188,229,0,18
9,D,110,H R 2768,16-Jan-2008,3:48 PM,On Motion to Recommit with Instructions,S-MINER Act,Failed,189,1,0,9,8,216,0,7,0,0,0,0,197,217,0,16
10,D,110,H R 2768,16-Jan-2008,3:56 PM,On Passage,S-MINER Act,Passed,7,183,0,9,207,16,0,8,0,0,0,0,214,199,0,17
11,D,110,H R 4986,16-Jan-2008,4:51 PM,On Motion to Suspend the Rules and Pass,National Defense Authorization Act for Fiscal Year 2008,Passed,187,4,0,8,182,42,0,7,0,0,0,0,369,46,0,15
12,D,110,H R 3524,17-Jan-2008,1:28 PM,On Agreeing to the Amendment,None,Agreed to,165,20,0,15,223,0,0,12,0,0,0,0,388,20,0,27
13,D,110,H R 3524,17-Jan-2008,1:36 PM,On Agreeing to the Amendment,None,Failed,180,4,0,16,1,223,0,11,0,0,0,0,181,227,0,27
14,D,110,H R 3524,17-Jan-2008,1:43 PM,On Agreeing to the Amendment,None,Failed,185,0,0,15,1,221,0,13,0,0,0,0,186,221,0,28
15,D,110,H R 3524,17-Jan-2008,1:50 PM,On Agreeing to the Amendment,None,Failed,136,48,0,16,0,220,0,15,0,0,0,0,136,268,0,31
16,D,110,H R 3524,17-Jan-2008,1:56 PM,On Agreeing to the Amendment,None,Failed,165,20,0,15,4,220,0,11,0,0,0,0,169,240,0,26
17,D,110,H R 3524,17-Jan-2008,2:26 PM,On Motion to Recommit with Instructions,HOPE VI Improvement and Reauthorization Act,Passed,182,0,0,17,190,28,0,13,0,0,0,0,372,28,0,30
18,D,110,H R 3524,17-Jan-2008,2:33 PM,On Passage,HOPE VI Improvement and Reauthorization Act,Passed,53,130,0,16,218,0,0,13,0,0,0,0,271,130,0,29
19,D,110,H R 4211,22-Jan-2008,6:54 PM,On Motion to Suspend the Rules and Pass,Judge Richard B. Allsbrook Post Office,Passed,186,0,0,13,205,0,0,26,0,0,0,0,391,0,0,39
20,D,110,H RES 866,22-Jan-2008,7:06 PM,On Motion to Suspend the Rules and Agree,"Honoring the brave men and women of the United States Coast Guard whose tireless work, dedication, and commitment to protecting the United States have led to the Coast Guard seizing over 350,000 pounds of cocaine at sea during 2007, far surpassing all of our previous records",Passed,187,0,0,12,204,0,0,27,0,0,0,0,391,0,0,39
21,D,110,H R 3963,23-Jan-2008,12:35 PM,On Ordering the Previous Question,Children’s Health Insurance Program Extension and Improvement,Passed,0,194,0,5,217,1,0,13,0,0,0,0,217,195,0,18
22,D,110,H R 3963,23-Jan-2008,12:52 PM,"Passage, Objections of the President Not Withstanding",Children’s Health Insurance Program Extension and Improvement,Failed,42,151,0,6,218,1,0,13,0,0,0,0,260,152,0,19
23,D,110,S 2110,28-Jan-2008,5:28 PM,On Motion to Suspend the Rules and Pass,"To designate the facility of the United States Postal Service located at 427 North Street in Taft, California, as the “Larry S. Pierce Post Office”.",Passed,186,0,0,13,202,0,0,29,0,0,0,0,388,0,0,42
24,D,110,H R 4140,28-Jan-2008,5:37 PM,On Motion to Suspend the Rules and Pass,"To designate the Port Angeles Federal Building in Port Angeles, Washington, as the “Richard B. Anderson Federal Building”.",Passed,186,0,0,13,202,0,0,29,0,0,0,0,388,0,0,42
25,D,110,H R 5140,29-Jan-2008,3:11 PM,On Motion to Suspend the Rules and Pass,Recovery Rebates and Economic Stimulus for the American People Act of 2008,Passed,169,25,0,5,216,10,1,5,0,0,0,0,385,35,1,10
26,D,110,H RES 933,29-Jan-2008,3:20 PM,"On Motion to Suspend the Rules and Agree, as Amended",Commending the Louisiana State University Tigers football team for winning the 2007 Bowl Championship Series national championship game.,Passed,190,0,3,6,219,1,1,10,0,0,0,0,409,1,4,16
27,D,110,H R 1528,29-Jan-2008,6:29 PM,On Motion to Recommit with Instructions,New England National Scenic Trail Designation Act,Failed,172,0,0,27,11,205,0,15,0,0,0,0,183,205,0,42
28,D,110,H R 1528,29-Jan-2008,6:37 PM,On Passage,New England National Scenic Trail Designation Act,Passed,48,122,0,29,213,0,0,18,0,0,0,0,261,122,0,47
29,D,110,H RES 867,6-Feb-2008,6:54 PM,On Motion to Suspend the Rules and Agree,Commending the Houston Dynamo soccer team for winning the 2007 Major League Soccer Cup,Passed,170,0,0,28,203,0,0,28,0,0,0,0,373,0,0,56
30,D,110,H RES 942,6-Feb-2008,7:02 PM,On Motion to Suspend the Rules and Agree,Recognizing the significance of Black History Month,Passed,169,0,0,29,198,0,0,33,0,0,0,0,367,0,0,62
31,D,110,H RES 943,6-Feb-2008,7:10 PM,On Motion to Suspend the Rules and Agree,"Remembering the space shuttle Challenger disaster and honoring its crew members, who lost their lives on January 28, 1986",Passed,169,0,0,29,202,0,0,29,0,0,0,0,371,0,0,58
32,D,110,H RES 956,7-Feb-2008,11:57 AM,On Ordering the Previous Question,"Providing for consideration of the bill (H.R. 4137) to amend and extend the Higher Education Act of 1965, and for other purposes",Passed,0,189,0,9,204,7,0,20,0,0,0,0,204,196,0,29
33,D,110,H RES 956,7-Feb-2008,12:05 PM,On Agreeing to the Resolution,"Providing for consideration of the bill (H.R. 4137) to amend and extend the Higher Education Act of 1965, and for other purposes",Passed,0,188,0,10,214,2,0,15,0,0,0,0,214,190,0,25
34,D,110,H CON RES 283,7-Feb-2008,12:13 PM,"On Motion to Suspend the Rules and Agree, as Amended",Calling for a peaceful resolution to the current electoral crisis in Kenya.,Passed,188,1,0,9,217,0,0,14,0,0,0,0,405,1,0,23
35,D,110,H R 4848,7-Feb-2008,12:25 PM,"On Motion to Suspend the Rules and Pass, as Amended","To extend for one year parity in the application of certain limits to mental health benefits, and for other purposes.",Passed,167,23,0,8,217,0,0,14,0,0,0,0,384,23,0,22
36,D,110,H R 4137,7-Feb-2008,5:18 PM,On Agreeing to the Amendment,None,Agreed to,49,143,0,7,211,10,0,14,0,0,0,0,260,153,0,21
37,D,110,H R 4137,7-Feb-2008,5:26 PM,On Agreeing to the Amendment,None,Agreed to,25,167,0,7,197,24,0,14,0,0,0,0,222,191,0,21
38,D,110,H R 4137,7-Feb-2008,5:34 PM,On Agreeing to the Amendment,None,Failed,9,184,0,6,170,52,0,13,0,0,0,0,179,236,0,19
39,D,110,H R 4137,7-Feb-2008,6:07 PM,On Motion to Recommit with Instructions,"To amend and extend the Higher Education Act of 1965, and for other purposes",Failed,187,4,0,7,7,212,0,12,0,0,0,0,194,216,0,19
40,D,110,H R 4137,7-Feb-2008,6:17 PM,On Passage,"To amend and extend the Higher Education Act of 1965, and for other purposes",Passed,135,58,0,5,219,0,0,12,0,0,0,0,354,58,0,17
41,D,110,H RES 947,7-Feb-2008,6:27 PM,On Motion to Suspend the Rules and Agree,"Congratulating Lee Myung-Bak on his election to the Presidency of the Republic of Korea and wishing him well during his time of transition and his inauguration on February 25, 2008.",Passed,180,0,0,18,208,0,0,23,0,0,0,0,388,0,0,41
42,D,110,H R 5140,7-Feb-2008,7:44 PM,On Agreeing to the Senate Amendment,Recovery Rebates and Economic Stimulus for the American People Act of 2008,Passed,165,28,0,5,215,6,0,11,0,0,0,0,380,34,0,16
43,D,110,H RES 954,12-Feb-2008,6:55 PM,"On Motion to Suspend the Rules and Agree, as Amended","Honoring the life of senior Border Patrol agent Luis A. Aguilar, who lost his life in the line of duty near Yuma, Arizona, on January 19, 2008",Passed,161,0,0,37,196,0,0,34,0,0,0,0,357,0,0,71
44,D,110,H RES 909,12-Feb-2008,7:04 PM,"On Motion to Suspend the Rules and Agree, as Amended",Commemorating the courage of the Haitian soldiers that fought for American independence in the “Siege of Savannah” and for Haiti’s independence and renunciation of slavery,Passed,164,0,0,34,197,0,0,33,0,0,0,0,361,0,0,67
45,D,110,H CON RES 281,12-Feb-2008,7:13 PM,On Motion to Suspend the Rules and Agree,Celebrating the birth of Abraham Lincoln and recognizing the prominence the Declaration of Independence played in the development of Abraham Lincoln’s beliefs,Passed,163,0,0,35,194,0,0,36,0,0,0,0,357,0,0,71
46,D,110,ADJOURN,13-Feb-2008,10:56 AM,On Motion to Adjourn,None,Failed,3,167,0,28,0,199,0,31,0,0,0,0,3,366,0,59
47,D,110,ADJOURN,13-Feb-2008,11:23 AM,On Motion to Adjourn,None,Failed,6,170,0,22,1,194,0,35,0,0,0,0,7,364,0,57
48,D,110,H RES 976,13-Feb-2008,12:37 PM,On Ordering the Previous Question,"Providing for consideration of H.R. 5349, to extend the Protect America Act of 2007 for 21 days",Passed,1,190,0,7,209,5,0,16,0,0,0,0,210,195,0,23
49,D,110,H RES 976,13-Feb-2008,12:44 PM,Table Motion to Reconsider,"Providing for consideration of H.R. 5349, to extend the Protect America Act of 2007 for 21 days",Passed,0,189,0,9,206,5,0,19,0,0,0,0,206,194,0,28
50,D,110,H RES 976,13-Feb-2008,12:54 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 5349, to extend the Protect America Act of 2007 for 21 days",Passed,1,191,0,6,205,8,0,17,0,0,0,0,206,199,0,23
51,D,110,H RES 976,13-Feb-2008,1:03 PM,Table Motion to Reconsider,"Providing for consideration of H.R. 5349, to extend the Protect America Act of 2007 for 21 days",Passed,1,192,0,5,209,3,0,18,0,0,0,0,210,195,0,23
52,D,110,ADJOURN,13-Feb-2008,1:21 PM,On Motion to Adjourn,None,Failed,3,186,0,9,0,209,0,21,0,0,0,0,3,395,0,30
53,D,110,H R 5349,13-Feb-2008,4:02 PM,Table Appeal of the Ruling of the Chair,To extend the Protect America Act of 2007 for 21 days.,Passed,0,195,0,3,222,1,0,7,0,0,0,0,222,196,0,10
54,D,110,H R 5349,13-Feb-2008,4:11 PM,On Passage,To extend the Protect America Act of 2007 for 21 days.,Failed,0,195,0,3,191,34,0,6,0,0,0,0,191,229,0,9
55,D,110,H RES 960,13-Feb-2008,4:19 PM,On Motion to Suspend the Rules and Agree,Congratulating the National Football League champion New York Giants for winning Super Bowl XLII and completing one of the most remarkable postseason runs in professional sports history,Passed,194,0,0,4,218,1,2,9,0,0,0,0,412,1,2,13
56,D,110,H CON RES 293,13-Feb-2008,4:46 PM,On Agreeing to the Resolution,None,Passed,2,193,0,3,213,10,0,7,0,0,0,0,215,203,0,10
57,D,110,H RES 917,13-Feb-2008,4:55 PM,On Motion to Suspend the Rules and Agree,"Supporting the goals and ideals of National Engineers Week, and for other purposes",Passed,191,0,0,7,217,0,0,13,0,0,0,0,408,0,0,20
58,D,110,ADJOURN,14-Feb-2008,11:57 AM,On Motion to Adjourn,None,Failed,2,185,0,11,0,205,0,25,0,0,0,0,2,390,0,36
59,D,110,ADJOURN,14-Feb-2008,1:40 PM,On Motion to Adjourn,None,Failed,2,190,0,6,0,210,0,20,0,0,0,0,2,400,0,26
60,D,110,H RES 982,14-Feb-2008,2:23 PM,On Agreeing to the Resolution,"Providing for the adoption of H. Res. 979 and H. Res. 980, contempt of Congress resolutions.",Passed,3,31,1,163,220,1,0,10,0,0,0,0,223,32,1,173
61,D,110,H RES 966,14-Feb-2008,2:43 PM,On Motion to Suspend the Rules and Agree,"Honoring African-American inventors, past and present, for their leadership, courage, and significant contributions to our national competitiveness",Passed,174,0,0,24,213,0,0,17,0,0,0,0,387,0,0,41
62,D,110,H R 1834,14-Feb-2008,2:53 PM,"On Motion to Suspend the Rules and Pass, as Amended",National Ocean Exploration Program Act,Passed,139,49,0,10,213,0,0,17,0,0,0,0,352,49,0,27
63,D,110,S 2571,14-Feb-2008,2:59 PM,On Motion to Suspend the Rules and Pass,"To make technical corrections to the Federal Insecticide, Fungicide, and Rodenticide Act",Passed,190,0,0,8,210,0,0,20,0,0,0,0,400,0,0,28
