Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,102,QUORUM 1,28-Jan-1992,12:24 PM,Call of the House,None,Passed,0,0,148,18,0,0,226,42,0,0,0,1,0,0,374,61
2,D,102,H CON RES 268,28-Jan-1992,2:54 PM,SUSPEND THE RULES AND AGREE,TECHNICAL CORRECTIONS TO H.R. 3866,Passed,154,0,0,12,235,0,0,32,1,0,0,0,390,0,0,44
3,D,102,H R 1989,28-Jan-1992,3:08 PM,SUSPEND THE RULES AND AGREE TO SENATE AMENDMENT,AMERICAN TECHNOLOGY PREEMINENCE ACT OF 1991,Passed,155,0,0,11,236,1,0,30,1,0,0,0,392,1,0,41
4,D,102,H R 4095,4-Feb-1992,3:06 PM,SUSPEND RULES AND PASSAS AMENDED,EMERGENCY EXTENSION OF UNEMPLOYMENT BENEFITS,Passed,151,8,0,7,252,0,0,15,1,0,0,0,404,8,0,22
5,D,102,H RES 340,5-Feb-1992,3:00 PM,On Ordering the Previous Question,REGARDING THE POST OFFICE OF THE HOUSE OF REPRESENTATIVES,Passed,0,161,0,5,252,1,0,14,1,0,0,0,253,162,0,19
6,D,102,H RES 340,5-Feb-1992,3:17 PM,On Agreeing to the Resolution,REGARDING THE POST OFFICE OF THE HOUSE OF REPRESENTATIVES,Passed,1,160,0,5,252,0,0,15,1,0,0,0,254,160,0,20
7,D,102,H RES 341,5-Feb-1992,3:41 PM,ON MOTION TO TABLE THERESOLUTION,None,Passed,0,160,0,6,249,1,0,17,1,0,0,0,250,161,0,23
8,D,102,H RES 342,5-Feb-1992,5:01 PM,ON MOTION TO TABLE THERESOLUTION,REGARDING ACTIONS BY THE FOREIGN AFFAIRS COMMITTEE,Passed,0,160,0,6,248,0,0,19,1,0,0,0,249,160,0,25
9,D,102,H RES 303,5-Feb-1992,6:39 PM,On Ordering the Previous Question,PROVIDING FOR THE CONISDERATION OF H. RES 258.,Passed,0,160,0,6,250,1,0,16,1,0,0,0,251,161,0,22
10,D,102,H RES 303,5-Feb-1992,7:02 PM,On Agreeing to the Resolution,PROVIDING FOR THE CONISDERATION OF H. RES 258.,Passed,0,158,0,8,246,0,0,21,1,0,0,0,247,158,0,29
11,D,102,H RES 258,5-Feb-1992,7:36 PM,TABLE THE APPEAL OF THE RULING OF THE CHAIR,CREATING A TASK FORCE OF MEMBERS OF THE FOREIGN AFFAIRS COMMITTEE TO INVESTIGATE CERTAIN ALLEGATIONS CONCERNING THE HOLDING OF AMERICANS AS HOSTAGES BY IRAN IN 1980,Passed,0,150,0,16,226,0,0,41,1,0,0,0,227,150,0,57
12,D,102,H RES 258,5-Feb-1992,9:47 PM,On Agreeing to the Amendment,None,Failed,158,0,0,8,0,248,0,19,0,1,0,0,158,249,0,27
13,D,102,H RES 258,5-Feb-1992,10:04 PM,On Agreeing to the Resolution,CREATING A TASK FORCE OF MEMBERS OF THE FOREIGN AFFAIRS COMMITTEE TO INVESTIGATE CERTAIN ALLEGATIONS CONCERNING THE HOLDING OF AMERICANS AS HOSTAGES BY IRAN IN 1980,Passed,0,158,0,8,216,34,0,17,1,0,0,0,217,192,0,25
14,D,102,S 606,19-Feb-1992,3:13 PM,SUSPEND THE RULES AND PASS AS AMENDED,ALLEGHENY WILD AND SCENIC RIVER SYSTEMS,Passed,156,3,0,7,252,0,0,15,1,0,0,0,409,3,0,22
15,D,102,H R 543,19-Feb-1992,3:24 PM,SUSPEND THE RULES AND AGREE TO SENATE AMENDMENTS,MANZANAR NATIONAL HISTORIC SITE,Passed,147,13,0,6,252,0,0,15,1,0,0,0,400,13,0,21
