Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,109,QUORUM,31-Jan-2006,3:55 PM,Call of the House,None,Passed,0,0,211,20,0,0,178,23,0,0,0,1,0,0,389,44
2,R,109,H RES 653,1-Feb-2006,2:36 PM,On Consideration of the Resolution,Relating to consideration of the bill (S. 1932) to provide for reconciliation pursuant to section 202 (a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95),Passed,226,0,0,4,0,200,0,1,0,1,0,0,226,201,0,5
3,R,109,H RES 648,1-Feb-2006,5:01 PM,On Motion to Suspend the Rules and Agree,To eliminate floor privileges and access to Member exercise facilities for registered lobbyists who are former Members or officers of the House,Passed,198,31,0,2,180,19,1,1,1,0,0,0,379,50,1,3
4,R,109,H RES 653,1-Feb-2006,5:11 PM,On Agreeing to the Resolution,Relating to consideration of the bill (S. 1932) to provide for reconciliation pursuant to section 202 (a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95),Passed,216,13,0,2,0,200,0,1,0,1,0,0,216,214,0,3
5,R,109,H RES 670,8-Feb-2006,6:53 PM,On Motion to Suspend the Rules and Agree,Congratulating the National Football League champion Pittsburgh Steelers for winning Super Bowl XL and completing one of the greatest postseason runs in professional sports history,Passed,207,0,6,17,176,0,4,21,1,0,0,0,384,0,10,38
6,R,109,H RES 657,8-Feb-2006,7:04 PM,On Motion to Suspend the Rules and Agree,Honoring the contributions of Catholic schools,Passed,213,0,0,17,178,0,0,23,1,0,0,0,392,0,0,40
7,R,109,H R 4297,8-Feb-2006,7:24 PM,On Motion to Instruct Conferees,Tax Relief Extension Reconciliation Act,Failed,8,204,0,18,176,3,0,22,1,0,0,0,185,207,0,40
8,R,109,H CON RES 322,14-Feb-2006,6:54 PM,"On Motion to Suspend the Rules and Agree, As Amended",Expressing the Sense of Congress regarding the contribution of the USO to the morale and welfare of our servicemen and women of our armed forces and their families,Passed,219,0,0,11,187,0,0,14,1,0,0,0,407,0,0,25
9,R,109,S 1989,14-Feb-2006,7:10 PM,On Motion to Suspend the Rules and Pass,"To designate the facility of the United States Postal Service located at 57 Rolfe Square in Cranston, Rhode Island, shall be known and designated as the “Holly A. Charette Post Office”",Passed,221,0,0,9,186,0,0,15,1,0,0,0,408,0,0,24
10,R,109,S CON RES 79,15-Feb-2006,6:12 PM,On Motion to Suspend the Rules and Agree,Expressing the sense of Congress that no United States assistance should be provided directly to the Palestinian Authority if any representative political party holding a majority of parliamentary seats within the Palestinian Authority maintains a position calling for the destruction of Israel.,Passed,223,0,0,7,194,1,0,6,1,0,0,0,418,1,0,13
11,R,109,H R 4745,15-Feb-2006,6:21 PM,On Motion to Suspend the Rules and Pass,"Making supplemental appropriations for fiscal year 2006 for the Small Business Administration’s disaster loan program, and for other purposes",Passed,217,5,0,8,192,0,0,9,1,0,0,0,410,5,0,17
12,R,109,H CON RES 341,16-Feb-2006,11:31 AM,On Agreeing to the Resolution,Condemning the Government of Iran for violating its international nuclear nonproliferation obligations and expressing support for efforts to report Iran to the United Nations Security Council,Passed,221,1,0,8,182,3,4,12,1,0,0,0,404,4,4,20
13,R,109,H RES 687,16-Feb-2006,11:55 AM,On Motion to Table,None,Passed,219,0,0,11,0,186,6,9,0,1,0,0,219,187,6,20
14,R,109,H R 1096,28-Feb-2006,6:54 PM,"On Motion to Suspend the Rules and Pass, as Amended",To establish the Thomas Edison National Historical Park in the State of New Jersey as the successor to the Edison National Historical Site,Passed,216,1,0,13,182,0,0,19,1,0,0,0,399,1,0,32
15,R,109,H RES 668,28-Feb-2006,7:03 PM,"On Motion to Suspend the Rules and Agree, as Amended",Celebrating the 40th anniversary of the Texas Western’s 1966 NCAA Basketball Championship and recognizing the groundbreaking impact of the title game victory on diversity in sports and civil rights in America,Passed,213,0,0,17,183,0,0,18,1,0,0,0,397,0,0,35
16,R,109,H R 1259,28-Feb-2006,7:20 PM,"On Motion to Suspend the Rules and Pass, as Amended","To authorize the President to award a gold medal on behalf of Congress, collectively, to the Tuskegee Airmen in recognition of their unique military record, which inspired revolutionary reform in the Armed Forces",Passed,215,0,0,15,184,0,0,17,1,0,0,0,400,0,0,32
17,R,109,H RES 357,1-Mar-2006,3:25 PM,On Motion to Suspend the Rules and Agree,Honoring Justice Sandra Day O’Connor,Passed,218,0,0,12,192,0,0,9,0,0,0,1,410,0,0,22
18,R,109,H RES 702,2-Mar-2006,12:34 PM,On Ordering the Previous Question,"Providing for the consideration of H.R. 4167, National Uniformity for Food Act",Passed,216,2,0,12,0,194,0,7,0,1,0,0,216,197,0,19
19,R,109,H R 4054,7-Mar-2006,6:56 PM,On Motion to Suspend the Rules and Pass,"To designate the facility of the United States Postal Service located at 6110 East 51st Place in Tulsa, Oklahoma, as the “Dewey F. Bartlett Post Office”",Passed,226,0,0,4,186,1,0,14,1,0,0,0,413,1,0,18
