Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,105,QUORUM,7-Jan-1997,12:31 PM,call by states,None,Passed,0,0,225,0,0,0,205,0,0,0,2,0,0,0,432,0
2,R,105,MOTION,7-Jan-1997,12:59 PM,table appeal of the ruling of the chair,None,Passed,221,4,0,0,0,205,0,0,1,1,0,0,222,210,0,0
3
4,R,105,H RES 5,7-Jan-1997,4:24 PM,On Ordering the Previous Question,Rules of the House of Representatives for the 105th Congress,Passed,220,0,0,6,0,201,0,4,1,1,0,0,221,202,0,10
5,R,105,H RES 5,7-Jan-1997,4:45 PM,On motion to commit with instructions,Rules of the House of Representatives for the 105th Congress,Failed,2,222,0,1,202,0,0,3,1,1,0,0,205,223,0,4
6,R,105,H RES 5,7-Jan-1997,5:03 PM,On Agreeing to the Resolution,Rules of the House of Representatives for the 105th Congress,Passed,222,2,0,1,3,199,0,3,1,1,0,0,226,202,0,4
7,R,105,S CON RES 3,7-Jan-1997,5:27 PM,On Agreeing to the Resolution,None,Passed,218,0,0,7,3,197,0,5,1,1,0,0,222,198,0,12
8,R,105,H RES 31,21-Jan-1997,2:07 PM,On Agreeing to the Resolution,In the Matter of Representative Newt Gingrich,Passed,196,26,0,4,198,2,5,2,1,0,0,0,395,28,5,6
9,R,105,H R 499,5-Feb-1997,12:26 PM,On Motion to Suspend the Rules and Pass,Frank M. Tejeda Post Office Building,Passed,211,0,0,15,188,0,0,18,1,0,0,0,400,0,0,33
10,R,105,JOURNAL,5-Feb-1997,12:51 PM,On Approving the Journal,None,Passed,203,10,0,13,172,18,0,16,1,0,0,0,376,28,0,29
11,R,105,H J RES 2,12-Feb-1997,2:27 PM,On Agreeing to the Amendment,None,Failed,67,157,0,2,18,183,0,5,0,1,0,0,85,341,0,7
12,R,105,H J RES 2,12-Feb-1997,2:37 PM,On Agreeing to the Amendment,None,Failed,70,154,0,2,17,184,0,5,0,1,0,0,87,339,0,7
13,R,105,H J RES 2,12-Feb-1997,2:48 PM,On Agreeing to the Amendment,None,Failed,67,157,0,2,18,181,0,7,0,1,0,0,85,339,0,9
14,R,105,H J RES 2,12-Feb-1997,3:36 PM,On Agreeing to the Amendment,None,Failed,54,168,0,4,18,184,0,4,0,1,0,0,72,353,0,8
15,R,105,H J RES 2,12-Feb-1997,3:48 PM,On Agreeing to the Amendment,None,Failed,66,156,0,4,17,185,0,4,0,1,0,0,83,342,0,8
16,R,105,H J RES 2,12-Feb-1997,3:57 PM,On Agreeing to the Amendment,None,Failed,68,153,0,5,17,185,0,4,0,1,0,0,85,339,0,9
17,R,105,H J RES 2,12-Feb-1997,4:40 PM,On Agreeing to the Amendment,None,Failed,66,157,0,3,17,184,0,5,0,1,0,0,83,342,0,8
18,R,105,H J RES 2,12-Feb-1997,4:49 PM,On Agreeing to the Amendment,None,Failed,72,151,0,3,19,183,0,4,0,1,0,0,91,335,0,7
19,R,105,H J RES 2,12-Feb-1997,4:58 PM,On Agreeing to the Amendment,None,Failed,73,151,0,2,24,177,0,5,0,1,0,0,97,329,0,7
20,R,105,H J RES 2,12-Feb-1997,6:00 PM,On Agreeing to the Amendment,None,Failed,72,151,0,3,80,122,0,4,0,1,0,0,152,274,0,7
21,R,105,H J RES 2,12-Feb-1997,6:33 PM,On Passage,Term Limits Constitutional Amendment,Failed,180,45,0,2,37,165,0,4,0,1,0,0,217,211,0,6
22,R,105,H J RES 36,13-Feb-1997,1:03 PM,On Passage,Approving the Presidential Finding Regarding International Family Planning Programs,Passed,44,182,0,1,175,27,0,3,1,0,0,0,220,209,0,4
23,R,105,H R 581,13-Feb-1997,3:02 PM,On Passage,Funds Appropriated for Population Planning,Passed,194,30,0,2,37,163,0,5,0,1,0,0,231,194,0,7
24,R,105,JOURNAL,26-Feb-1997,12:17 PM,On Approving the Journal,None,Passed,206,11,0,9,171,25,0,9,1,0,0,0,378,36,0,18
25,R,105,H R 624,26-Feb-1997,12:28 PM,On Motion to Suspend the Rules and Pass,The Armored Car Reciprocity Amendments of 1997,Passed,219,0,0,7,196,0,0,9,1,0,0,0,416,0,0,16
26,R,105,H R 497,26-Feb-1997,12:38 PM,On Motion to Suspend the Rules and Pass,"To repeal the Federal Charter of Group Hospitalization and Medical Services, Inc.",Passed,219,0,0,7,197,0,0,8,1,0,0,0,417,0,0,15
27,R,105,H R 668,26-Feb-1997,12:51 PM,On Motion to Suspend the Rules and Pass,Aviation Trust Fund Tax Reinstatement,Passed,158,64,0,4,188,9,0,8,1,0,0,0,347,73,0,12
28,R,105,JOURNAL,27-Feb-1997,12:07 PM,On Approving the Journal,None,Passed,189,11,1,25,143,27,1,34,0,0,0,1,332,38,2,60
29,R,105,H CON RES 17,5-Mar-1997,1:27 PM,Suspend the rules and agree,Congratulate Guatemala on the Peace Process,Passed,218,0,2,6,197,0,0,8,1,0,0,0,416,0,2,14
30,R,105,H CON RES 18,5-Mar-1997,1:38 PM,Suspend the rules and agree,Congratulate Nicaragua on Elections,Passed,218,0,3,5,198,0,0,7,1,0,0,0,417,0,3,12
31,R,105,H CON RES 31,5-Mar-1997,1:50 PM,Suspend the rules and agree,"Expressing the sense of Congress regarding the display of the Ten Commandments by Judge Roy S. Moore, a judge on the circuit court of the State of Alabama",Passed,216,4,0,6,79,120,0,6,0,1,0,0,295,125,0,12
32,R,105,ADJOURN,6-Mar-1997,10:24 AM,On Motion to Adjourn,None,Failed,2,196,0,28,73,97,0,35,0,0,0,1,75,293,0,64
33,R,105,JOURNAL,6-Mar-1997,11:29 AM,On Approving the Journal,None,Passed,206,11,0,9,148,32,0,25,1,0,0,0,355,43,0,34
34,R,105,H R 513,6-Mar-1997,11:40 AM,Suspend the rules and pass,District of Columbia Council Contract Review Reform Act,Passed,212,6,0,8,177,1,1,26,1,0,0,0,390,7,1,34
35,R,105,ADJOURN,6-Mar-1997,12:01 PM,On Motion to Adjourn,None,Failed,7,211,0,8,77,100,0,28,0,1,0,0,84,312,0,36
36,R,105,H CON RES 16,11-Mar-1997,5:25 PM,"Suspend the rules and agree, as amended",Improve Living Standards for South Asians,Passed,222,1,0,3,192,0,0,13,1,0,0,0,415,1,0,16
37,R,105,H RES 68,11-Mar-1997,5:37 PM,"Suspend the rules and agree, as amended",Reaffirm U.S.- Japan Security Treaty,Passed,213,10,0,3,189,6,0,10,1,0,0,0,403,16,0,13
38,R,105,H R 750,11-Mar-1997,5:47 PM,"Suspend the rules and pass, as amended",Hong Kong Reversion Act,Passed,220,1,0,5,195,0,0,10,1,0,0,0,416,1,0,15
39,R,105,JOURNAL,12-Mar-1997,11:24 AM,On Approving the Journal,None,Passed,208,11,0,7,162,33,0,10,0,0,0,1,370,44,0,18
40,R,105,ADJOURN,12-Mar-1997,12:13 PM,On Motion to Adjourn,None,Failed,0,220,0,6,26,171,0,8,0,1,0,0,26,392,0,14
41,R,105,H RES 90,12-Mar-1997,1:40 PM,On Ordering the Previous Question,Providing for the consideration of H.Res. 89; Request New Balanced Budget from the President,Passed,225,0,0,1,1,199,0,5,0,1,0,0,226,200,0,6
42,R,105,H RES 90,12-Mar-1997,1:50 PM,On Agreeing to the Resolution,Providing for the consideration of H.Res. 89; Request New Balanced Budget from the President,Passed,225,0,0,2,1,201,0,3,0,1,0,0,226,202,0,5
43,R,105,H RES 89,12-Mar-1997,4:42 PM,On Motion to Recommit with Instructions,Request New Balanced Budget from the President,Failed,0,224,0,2,201,1,0,3,1,0,0,0,202,225,0,5
44,R,105,H RES 89,12-Mar-1997,5:00 PM,On Agreeing to the Resolution,Request New Balanced Budget from the President,Passed,223,2,0,1,8,194,0,3,0,1,0,0,231,197,0,4
45,R,105,H RES 95,13-Mar-1997,11:53 AM,On Agreeing to the Resolution,Providing for consideration of H.J.Res. 58; Disapprove Certification of Mexico,Passed,209,13,0,4,4,195,0,6,0,1,0,0,213,209,0,10
46,R,105,H J RES 58,13-Mar-1997,3:07 PM,On Agreeing to the Amendment,None,Agreed to,205,19,0,3,7,185,9,4,0,1,0,0,212,205,9,7
47,R,105,H J RES 58,13-Mar-1997,3:25 PM,On Agreeing to the Amendment,None,Agreed to,204,21,0,2,24,174,0,7,1,0,0,0,229,195,0,9
48,R,105,H J RES 58,13-Mar-1997,3:46 PM,On Passage,Disapprove Certification of Mexico,Passed,204,21,0,2,46,154,0,5,1,0,0,0,251,175,0,7
49,R,105,H RES 88,13-Mar-1997,4:59 PM,On Ordering the Previous Question,Providing for the consideration of H.R. 852; Paperwork Reduction Amendments,Passed,216,0,0,10,3,186,0,16,0,1,0,0,219,187,0,26
50,R,105,H R 852,13-Mar-1997,5:43 PM,On Passage,Paperwork Reduction Amendments,Passed,207,0,0,19,187,0,0,18,1,0,0,0,395,0,0,37
51,R,105,H R 412,18-Mar-1997,5:44 PM,On Agreeing to the Amendment,None,Failed,22,202,0,2,172,30,0,3,1,0,0,0,195,232,0,5
52,R,105,H R 924,18-Mar-1997,6:07 PM,"On Motion to Suspend the Rules and Pass, as Amended",Victim Allocution Clarification Act,Passed,224,0,0,2,193,9,0,3,1,0,0,0,418,9,0,5
53,R,105,H R 672,18-Mar-1997,6:27 PM,"On Motion to Suspend the Rules and Pass, as Amended",Copyright Clarification Act,Passed,222,1,0,3,201,1,0,3,1,0,0,0,424,2,0,6
54,R,105,H RES 99,19-Mar-1997,12:48 PM,On Agreeing to the Resolution,"Providing for the consideration of H.R. 1, Working Families Flexibility Act",Passed,222,2,0,2,7,192,0,6,0,1,0,0,229,195,0,8
55,R,105,H R 1,19-Mar-1997,2:30 PM,On Agreeing to the Amendment,None,Agreed to,217,7,0,2,190,12,0,3,1,0,0,0,408,19,0,5
56,R,105,H R 1,19-Mar-1997,3:00 PM,On Agreeing to the Amendment,None,Agreed to,192,33,0,1,197,3,0,5,1,0,0,0,390,36,0,6
57,R,105,H R 1,19-Mar-1997,3:34 PM,On Agreeing to the Amendment,None,Failed,6,216,0,4,175,21,0,9,1,0,0,0,182,237,0,13
58,R,105,H R 1,19-Mar-1997,5:00 PM,On Agreeing to the Amendment,None,Failed,3,223,0,0,189,14,0,2,1,0,0,0,193,237,0,2
59,R,105,H R 1,19-Mar-1997,5:21 PM,On Passage,Working Families Flexibility Act,Passed,209,18,0,0,13,191,0,1,0,1,0,0,222,210,0,1
60,R,105,ADJOURN,20-Mar-1997,10:38 AM,On Motion to Adjourn,None,Failed,0,213,0,13,182,8,0,15,1,0,0,0,183,221,0,28
61,R,105,H RES 100,20-Mar-1997,12:14 PM,On Ordering the Previous Question,"Providing for the consideration of H.R. 1122, Partial-Birth Abortion Ban Act",Passed,211,12,0,3,32,171,0,2,0,1,0,0,243,184,0,5
62,R,105,H RES 100,20-Mar-1997,12:23 PM,On Agreeing to the Resolution,"Providing for the consideration of H.R. 1122, Partial-Birth Abortion Ban Act",Passed,204,15,0,7,43,159,0,3,0,1,0,0,247,175,0,10
63,R,105,H R 1122,20-Mar-1997,3:25 PM,table appeal of the ruling of the Chair,Partial-Birth Abortion Ban Act,Passed,220,5,0,1,45,159,0,1,0,1,0,0,265,165,0,2
64,R,105,H R 1122,20-Mar-1997,3:59 PM,On Motion to Recommit with Instructions,Partial-Birth Abortion Ban Act,Failed,16,210,0,1,132,72,0,1,1,0,0,0,149,282,0,2
65,R,105,H R 1122,20-Mar-1997,4:18 PM,On Passage,Partial-Birth Abortion Ban Act,Passed,218,8,0,1,77,127,0,1,0,1,0,0,295,136,0,2
66,R,105,QUORUM,20-Mar-1997,5:54 PM,Call of the House,None,Passed,0,0,222,4,0,0,198,7,0,0,1,0,0,0,421,11
67,R,105,H RES 101,20-Mar-1997,6:22 PM,On Agreeing to the Resolution,"Providing for consideration of the resolution (H. Res. 91), House Committees Funding Resolution",Failed,210,11,0,6,0,201,0,4,0,1,0,0,210,213,0,10
68,R,105,JOURNAL,21-Mar-1997,10:19 AM,On Approving the Journal,None,Passed,190,15,1,20,137,34,0,34,1,0,0,0,328,49,1,54
69,R,105,H RES 105,21-Mar-1997,11:50 AM,On Agreeing to the Resolution,"Providing for consideration of H. Res. 91, Committee Funding for the 105th Congress.",Passed,217,0,0,9,1,178,0,26,0,1,0,0,218,179,0,35
70,R,105,H RES 91,21-Mar-1997,12:51 PM,On Motion to Recommit with Instructions,House Committees Funding Resolution,Failed,1,213,0,12,174,1,0,30,1,0,0,0,176,214,0,42
71,R,105,H RES 91,21-Mar-1997,1:01 PM,"On Agreeing to the Resolution, as amended",House Committees Funding Resolution,Passed,211,3,0,12,2,175,0,28,0,1,0,0,213,179,0,40
72,R,105,H R 28,8-Apr-1997,5:36 PM,On Motion to Suspend the Rules and Pass,Rural Multifamily Rental Housing Loan Guarantee Program Authorization,Passed,207,14,0,5,189,0,0,16,1,0,0,0,397,14,0,21
73,R,105,H R 1000,8-Apr-1997,5:48 PM,On Motion to Suspend the Rules and Pass,State Prevention of Food Stamp Benefits to Prisoners,Passed,220,0,0,6,188,0,0,17,1,0,0,0,409,0,0,23
74,R,105,H RES 107,9-Apr-1997,1:15 PM,On Ordering the Previous Question,Providng for Consideration of Motions to Suspend the Rules,Passed,213,0,0,13,0,195,0,10,0,1,0,0,213,196,0,23
75,R,105,H R 1003,10-Apr-1997,11:37 AM,"On Motion to Suspend the Rules and Pass, as Amended",Assisted Suicide Funding Restriction Act of 1997,Passed,216,0,0,10,181,16,0,8,1,0,0,0,398,16,0,18
76,R,105,H R 1226,15-Apr-1997,4:32 PM,"Suspend the rules and pass, as amended",Taxpayer Browsing Protection Act,Passed,219,0,0,7,192,0,0,13,1,0,0,0,412,0,0,20
77,R,105,H RES 109,15-Apr-1997,4:42 PM,Suspend the rules and agree,Sense of Congress on Family Tax Relief,Passed,219,0,0,7,192,0,0,13,1,0,0,0,412,0,0,20
78,R,105,H J RES 62,15-Apr-1997,7:01 PM,On Passage,Tax Limitation Constitutional Amendment,Failed,208,15,0,3,25,174,0,6,0,1,0,0,233,190,0,9
79,R,105,H RES 112,16-Apr-1997,12:56 PM,On Ordering the Previous Question,Providing for consideration of motions to suspend the rules,Passed,222,0,0,4,1,198,0,6,0,1,0,0,223,199,0,10
80,R,105,H R 607,16-Apr-1997,3:14 PM,"Suspend the rules and pass, as amended",Homeowner’s Insurance Protection Act,Passed,218,7,0,1,202,0,0,3,1,0,0,0,421,7,0,4
81,R,105,H CON RES 61,16-Apr-1997,3:23 PM,On motion to suspend the rules and agree,Honoring the lifetime achievements of Jackie Robinson,Passed,225,0,0,1,201,0,0,4,1,0,0,0,427,0,0,5
82,R,105,MOTION,17-Apr-1997,11:03 AM,strike the words from the record,None,Passed,221,0,0,5,6,189,3,7,0,1,0,0,227,190,3,12
83,R,105,MOTION,17-Apr-1997,11:21 AM,table motion to proceed in order,None,Passed,222,0,0,4,1,198,0,6,0,1,0,0,223,199,0,10
84,R,105,JOURNAL,17-Apr-1997,11:42 AM,On Approving the Journal,None,Passed,212,7,0,7,104,93,0,8,1,0,0,0,317,100,0,15
85,R,105,H R 400,17-Apr-1997,6:04 PM,On Agreeing to the Amendment,None,Failed,123,89,0,14,54,138,0,14,1,0,0,0,178,227,0,28
86,R,105,H R 400,23-Apr-1997,5:25 PM,On Agreeing to the Amendment,None,Failed,114,100,0,12,70,124,0,12,1,0,0,0,185,224,0,24
87,R,105,H R 400,23-Apr-1997,5:36 PM,On Agreeing to the Amendment,None,Failed,113,100,0,13,53,142,0,11,1,0,0,0,167,242,0,24
88,R,105,H R 400,23-Apr-1997,5:48 PM,On Agreeing to the Amendment,None,Agreed to,129,87,0,10,90,106,0,10,1,0,0,0,220,193,0,20
89,R,105,H R 400,23-Apr-1997,5:57 PM,On Agreeing to the Amendment,None,Failed,85,131,0,10,47,149,0,10,1,0,0,0,133,280,0,20
90,R,105,H R 1275,24-Apr-1997,3:09 PM,On Agreeing to the Amendment,None,Failed,45,174,0,7,66,131,0,9,1,0,0,0,112,305,0,16
91,R,105,H R 1275,24-Apr-1997,4:14 PM,On Agreeing to the Amendment,None,Failed,16,201,0,9,169,25,0,12,1,0,0,0,186,226,0,21
92,R,105,H R 1342,29-Apr-1997,5:27 PM,"Suspend the rules and pass, as amended",Conservation Reserve Program Enrollment,Passed,213,8,1,4,112,83,0,11,0,1,0,0,325,92,1,15
93,R,105,H R 680,29-Apr-1997,5:38 PM,"Suspend the rules and pass, as amended",Allow Transfer of Federal Property,Passed,222,0,0,4,195,0,0,11,1,0,0,0,418,0,0,15
94,R,105,H R 363,29-Apr-1997,5:47 PM,"Suspend the rules and pass, as amended",Electric and Magnetic Fields Research Program Reauthorization,Passed,189,34,0,3,197,1,0,8,1,0,0,0,387,35,0,11
95,R,105,H R 1271,29-Apr-1997,5:58 PM,On Passage,"FAA Research, Engineering, and Development Authorization Act",Passed,216,7,0,3,197,0,0,9,1,0,0,0,414,7,0,12
96,R,105,H R 867,30-Apr-1997,2:04 PM,On Passage,Adoption Promotion Act of 1997,Passed,217,4,0,5,198,1,0,7,1,0,0,0,416,5,0,12
97,R,105,JOURNAL,1-May-1997,10:22 AM,On Approving the Journal,None,Passed,192,11,0,23,151,31,0,24,0,0,0,1,343,42,0,48
98,R,105,H RES 129,1-May-1997,12:06 PM,On Agreeing to the Resolution,Committee Funding Resolution,Passed,210,9,0,7,52,147,0,7,0,1,0,0,262,157,0,14
99,R,105,H R 2,1-May-1997,12:58 PM,Question of Consideration of the Committee Substitute Amendment,Housing Opportunity and Responsibility Act,Passed,223,0,0,3,14,182,0,10,0,1,0,0,237,183,0,13
100,R,105,H R 2,1-May-1997,5:07 PM,On Agreeing to the Amendment,None,Failed,6,207,0,13,153,44,0,9,1,0,0,0,160,251,0,22
101,R,105,H R 2,1-May-1997,5:18 PM,On Agreeing to the Amendment,None,Failed,138,71,0,17,15,180,0,11,0,1,0,0,153,252,0,28
102,R,105,H R 2,1-May-1997,5:42 PM,On Agreeing to the Amendment,None,Failed,13,189,0,24,167,27,0,12,1,0,0,0,181,216,0,36
103,R,105,H R 2,6-May-1997,6:23 PM,On Agreeing to the Amendment,None,Failed,1,223,0,2,138,63,0,5,1,0,0,0,140,286,0,7
104,R,105,H R 2,6-May-1997,6:33 PM,On Agreeing to the Amendment,None,Failed,3,217,0,6,164,36,0,6,1,0,0,0,168,253,0,12
105,R,105,H RES 93,7-May-1997,12:14 PM,Suspend the rules and agree,Expressing the Sense of the House that the Bureau of Labor Statistics determine any adjustments in the Consumer Price Index,Passed,212,7,0,7,186,9,0,11,1,0,0,0,399,16,0,18
106,R,105,H R 2,7-May-1997,12:35 PM,On Agreeing to the Amendment,None,Failed,0,225,0,1,171,27,0,8,1,0,0,0,172,252,0,9
107,R,105,H RES 142,7-May-1997,2:34 PM,On Agreeing to the Resolution,Providing for the consideration of H.R. 478: Flood Prevention and Family Protection Act of 1997,Passed,221,0,0,5,193,8,0,5,1,0,0,0,415,8,0,10
108,R,105,H R 478,7-May-1997,6:50 PM,On Agreeing to the Amendment,None,Agreed to,54,169,0,3,172,27,0,7,1,0,0,0,227,196,0,10
109,R,105,H RES 143,7-May-1997,8:28 PM,On Agreeing to the Resolution,Providing for the consideration of H.R. 3; Juvinile Crime Act,Passed,218,1,0,7,34,157,0,15,0,1,0,0,252,159,0,22
110,R,105,JOURNAL,8-May-1997,10:44 AM,On Approving the Journal,None,Passed,186,24,0,16,163,32,0,11,1,0,0,0,350,56,0,27
111,R,105,H R 3,8-May-1997,12:27 PM,On Agreeing to the Amendment,None,Failed,5,218,0,3,194,6,1,5,1,0,0,0,200,224,1,8
112,R,105,H R 3,8-May-1997,1:14 PM,On Agreeing to the Amendment,None,Failed,2,217,0,7,97,103,0,6,1,0,0,0,100,320,0,13
113,R,105,H R 3,8-May-1997,1:23 PM,On Agreeing to the Amendment,None,Failed,7,211,0,8,121,77,0,8,1,0,0,0,129,288,0,16
114,R,105,H R 3,8-May-1997,2:16 PM,On Agreeing to the Amendment,None,Failed,3,218,0,5,97,103,0,6,1,0,0,0,101,321,0,11
115,R,105,H R 3,8-May-1997,2:24 PM,On Agreeing to the Amendment,None,Failed,6,213,0,7,184,14,0,8,1,0,0,0,191,227,0,15
116,R,105,H R 3,8-May-1997,3:18 PM,On Agreeing to the Amendment,None,Agreed to,216,4,0,6,181,17,0,8,1,0,0,0,398,21,0,14
117,R,105,H R 3,8-May-1997,3:49 PM,On Motion to Recommit with Instructions,Juvenile Crime Control Act,Failed,2,216,0,8,171,27,0,8,1,0,0,0,174,243,0,16
118,R,105,H R 3,8-May-1997,4:05 PM,On Passage,Juvenile Crime Control Act,Passed,209,9,0,8,77,122,0,7,0,1,0,0,286,132,0,15
119,R,105,H R 2,13-May-1997,5:34 PM,On Agreeing to the Amendment,None,Failed,0,222,0,4,161,38,0,7,1,0,0,0,162,260,0,11
120,R,105,H R 2,13-May-1997,5:44 PM,On Agreeing to the Amendment,None,Failed,3,219,0,4,149,51,0,6,1,0,0,0,153,270,0,10
121,R,105,H R 2,13-May-1997,5:54 PM,On Agreeing to the Amendment,None,Failed,3,221,0,2,196,7,0,3,1,0,0,0,200,228,0,5
122,R,105,H R 2,13-May-1997,6:05 PM,On Agreeing to the Amendment,None,Failed,1,223,0,2,85,118,0,3,1,0,0,0,87,341,0,5
123,R,105,H R 2,13-May-1997,6:13 PM,On Agreeing to the Amendment,None,Failed,2,221,0,3,142,61,0,3,1,0,0,0,145,282,0,6
124,R,105,H R 5,13-May-1997,6:38 PM,"Suspend rules and pass, as amended",Individuals with Disabilities Education Improvement Act (IDEA),Passed,221,3,0,2,198,0,0,8,1,0,0,0,420,3,0,10
125,R,105,H RES 146,14-May-1997,12:16 PM,On Agreeing to the Resolution,Providing for consideration of H.R. 1469; Emergency Supplemental Appropriations,Failed,180,43,0,3,13,185,0,8,0,1,0,0,193,229,0,11
126,R,105,H R 2,14-May-1997,3:08 PM,On Agreeing to the Amendment,None,Failed,0,222,0,4,162,39,0,5,1,0,0,0,163,261,0,9
127,R,105,H R 2,14-May-1997,3:43 PM,On Passage,Housing Opportunity and Responsibility Act,Passed,222,1,0,3,71,130,0,5,0,1,0,0,293,132,0,8
128,R,105,JOURNAL,15-May-1997,10:26 AM,On Approving the Journal,None,Passed,186,21,0,19,148,41,0,17,0,0,0,1,334,62,0,37
129,R,105,H RES 149,15-May-1997,12:29 PM,On Ordering the Previous Question,Providing for consideration of H.R. 1469; Emergency Supplemental Appropriations,Passed,220,2,0,4,8,193,0,5,0,1,0,0,228,196,0,9
130,R,105,H RES 149,15-May-1997,12:40 PM,On Agreeing to the Resolution,Providing for consideration of H.R. 1469; Emergency Supplemental Appropriations,Passed,215,8,0,3,54,143,0,9,0,1,0,0,269,152,0,12
131,R,105,H R 1469,15-May-1997,3:02 PM,On Agreeing to the Amendment,None,Agreed to,134,89,0,3,203,0,0,3,1,0,0,0,338,89,0,6
132,R,105,H R 1469,15-May-1997,4:15 PM,On Agreeing to the Amendment,None,Failed,98,122,0,6,2,201,0,3,0,1,0,0,100,324,0,9
133,R,105,H R 1469,15-May-1997,7:09 PM,On Agreeing to the Amendment,None,Agreed to,149,71,0,6,195,3,0,8,1,0,0,0,345,74,0,14
134,R,105,H R 1469,15-May-1997,7:28 PM,On Agreeing to the Amendment,None,Agreed to,210,14,0,3,17,182,0,7,0,1,0,0,227,197,0,10
135,R,105,H R 1469,15-May-1997,8:23 PM,On Agreeing to the Amendment,None,Failed,108,113,0,5,7,191,0,8,0,1,0,0,115,305,0,13
136,R,105,H R 1469,15-May-1997,9:25 PM,On Passage,Emergency Supplemental Appropriations,Passed,175,46,1,4,69,131,0,6,0,1,0,0,244,178,1,10
137,R,105,H R 1385,16-May-1997,11:57 AM,On Agreeing to the Amendment,None,Failed,3,211,0,12,164,27,0,15,1,0,0,0,168,238,0,27
138,R,105,H R 1385,16-May-1997,12:58 PM,On Passage,"Employment, Training, and Literacy Enhancement Act",Passed,155,56,0,15,187,4,0,15,1,0,0,0,343,60,0,30
139,R,105,JOURNAL,20-May-1997,12:25 PM,On Approving the Journal,None,Passed,176,13,0,37,135,31,0,40,0,0,0,1,311,44,0,78
140,R,105,H RES 152,20-May-1997,3:24 PM,On Ordering the Previous Question,Providing for consideration of H. Con. Res. 84; Congressional Budget,Passed,218,4,0,5,2,196,0,8,0,0,0,1,220,200,0,14
141,R,105,H RES 152,20-May-1997,3:33 PM,On Agreeing to the Resolution,Providing for consideration of H. Con. Res. 84; Congressional Budget,Passed,212,8,0,7,66,134,0,6,0,0,0,1,278,142,0,14
142,R,105,S CON RES 26,20-May-1997,3:43 PM,Suspend the rules and agree,Permitting the use of the Rotunda of the Capitol for a ceremony honoring Mother Teresa,Passed,218,0,0,9,197,0,0,9,0,0,0,1,415,0,0,19
143,R,105,H CON RES 84,21-May-1997,12:25 AM,On Agreeing to the Amendment,None,Failed,0,227,0,1,71,131,1,3,1,0,0,0,72,358,1,4
144,R,105,H CON RES 84,21-May-1997,1:12 AM,On Agreeing to the Amendment,None,Failed,117,110,0,1,2,202,0,2,0,1,0,0,119,313,0,3
145,R,105,H CON RES 84,21-May-1997,1:52 AM,On Agreeing to the Amendment,None,Failed,0,226,0,2,90,113,0,3,1,0,0,0,91,339,0,5
146,R,105,H CON RES 84,21-May-1997,2:30 AM,On Agreeing to the Amendment,None,Failed,0,225,0,3,122,81,0,3,1,0,0,0,123,306,0,6
147,R,105,H CON RES 84,21-May-1997,3:11 AM,On Agreeing to the Amendment,None,Failed,58,168,0,2,155,48,0,3,1,0,0,0,214,216,0,5
148,R,105,H CON RES 84,21-May-1997,3:28 AM,On Agreeing to the Resolution,Congressional Budget Resolution for FY 1998,Passed,201,26,0,1,132,72,0,2,0,1,0,0,333,99,0,3
149,R,105,H RES 153,21-May-1997,3:17 PM,On Ordering the Previous Question,Providing for consideration of H.R. 408; International Dolphin Conservation Program Act,Passed,223,1,0,3,3,201,0,2,0,1,0,0,226,203,0,5
150,R,105,H R 911,21-May-1997,3:26 PM,"Suspend the rules and pass, as amended",Volunteer Protection Act,Passed,217,4,0,6,172,31,0,3,1,0,0,0,390,35,0,9
151,R,105,H R 408,21-May-1997,5:06 PM,On Passage,International Dolphin Conservation Program Act,Passed,204,19,0,4,58,146,0,2,0,1,0,0,262,166,0,6
152,R,105,ADJOURN,22-May-1997,12:08 PM,On Motion to Adjourn,None,Failed,1,218,0,8,78,121,0,7,1,0,0,0,80,339,0,15
153,R,105,H R 956,22-May-1997,12:57 PM,On Motion to Suspend the Rules and Pass,Drug Free Communities Act,Passed,217,1,0,9,202,0,0,4,1,0,0,0,420,1,0,13
154,R,105,JOURNAL,22-May-1997,1:07 PM,On Approving the Journal,None,Passed,201,16,0,10,150,49,0,7,1,0,0,0,352,65,0,17
155,R,105,H CON RES 87,22-May-1997,7:44 PM,On Agreeing to the Resolution,A Resolution to Adjourn the House for the Memorial Day District Work Period,Failed,67,104,0,56,0,173,0,33,0,1,0,0,67,278,0,89
156,R,105,H R 1420,3-Jun-1997,5:35 PM,"Suspend the rules and pass, as amended",National Wildlife Refuge System Improvement Act,Passed,213,1,0,13,193,0,0,13,1,0,0,0,407,1,0,26
