Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
90,R,108,H RES 153,27-Mar-2003,1:39 PM,On Motion to Suspend the Rules and Agree,Recognizing the public need for fasting and prayer in order to secure the blessings and protection of Providence for the people of the United States and our Armed Forces during the conflict in Iraq and under the threat of terrorism at home,Passed,221,0,0,7,125,48,23,9,0,1,0,0,346,49,23,16
91,R,108,H CON RES 118,27-Mar-2003,1:46 PM,"Suspend rules and agree, as amended",Concerning the treatment of members of the Armed Forces held as prisoner of war by Iraqi authorities,Passed,221,0,0,7,197,0,0,8,1,0,0,0,419,0,0,15
92,R,108,H R 1463,31-Mar-2003,6:51 PM,On Motion to Suspend the Rules and Pass,"To provide benefits for certain individuals with injuries resulting from administration of a smallpox vaccine, and for other purposes",Failed,182,21,0,25,2,185,0,18,0,0,0,1,184,206,0,44
93,R,108,H CON RES 58,31-Mar-2003,7:00 PM,On Motion to Suspend the Rules and Agree,"Honoring the City of Fayettville, NC, and its many partners for the Festival of Flight, a celebration of the centennial of Wilbur and Orville Wright’s first flight, the first controlled, powered flight",Passed,204,0,0,24,189,0,0,16,0,0,0,1,393,0,0,41
94,R,108,H R 1166,31-Mar-2003,7:06 PM,On Motion to Suspend the Rules and Pass,"To amend the Small Business Act to expand and improve the assistance provided by Small Business Development Centers to Indian tribe members, Native Alaskans, and Native Hawaiians",Passed,189,14,0,25,189,0,0,16,0,0,0,1,378,14,0,42
95,R,108,H CON RES 95,1-Apr-2003,3:51 PM,On Motion to Instruct Conferees,Congressional Budget for FY 2004,Passed,197,22,0,9,201,0,0,4,1,0,0,0,399,22,0,13
96,R,108,H R 1412,1-Apr-2003,3:59 PM,On Motion to Suspend the Rules and Pass,Higher Education Relief Opportunities for Students Act,Passed,220,0,0,8,200,1,0,4,1,0,0,0,421,1,0,12
97,R,108,H CON RES 109,1-Apr-2003,4:06 PM,"On Motion to Suspend the Rules and Agree, as Amended",Expressing the sense of the Congress regarding the Blue Star Banner and the Gold Star,Passed,220,0,0,8,197,0,0,8,1,0,0,0,418,0,0,16
98,R,108,H R 522,2-Apr-2003,12:05 PM,On Passage,Federal Deposit Insurance Reform Act,Passed,215,5,0,8,196,5,0,4,0,1,0,0,411,11,0,12
99,R,108,H RES 168,2-Apr-2003,12:13 PM,On Ordering the Previous Question,"Providing for the consideration of H.R. 743, Social Security Protection Act",Passed,219,0,0,9,26,176,0,3,0,1,0,0,245,177,0,12
100,R,108,H R 743,2-Apr-2003,2:28 PM,On Agreeing to the Amendment,None,Failed,10,211,0,7,185,17,0,3,1,0,0,0,196,228,0,10
101,R,108,H R 743,2-Apr-2003,2:54 PM,On Motion to Recommit with Instructions,Social Security Protection Act,Failed,0,220,0,8,202,0,0,3,1,0,0,0,203,220,0,11
102,R,108,H R 743,2-Apr-2003,3:01 PM,On Passage,Social Security Protection Act,Passed,219,3,0,6,176,25,0,4,1,0,0,0,396,28,0,10
103,R,108,H RES 172,3-Apr-2003,11:37 AM,On Ordering the Previous Question,"Providing for the consideration of H.R. 1559, Emergency Wartime Supplemental Appropriations Act",Passed,221,0,0,7,0,199,0,6,0,1,0,0,221,200,0,13
104,R,108,H R 1559,3-Apr-2003,1:31 PM,On sustaining the ruling of the Chair,Emergency Wartime Supplemental Appropriations Act,Passed,217,0,0,11,0,194,0,11,0,1,0,0,217,195,0,22
105,R,108,H R 1559,3-Apr-2003,4:22 PM,On Agreeing to the Amendment,None,Failed,77,148,0,3,32,167,0,6,1,0,0,0,110,315,0,9
106,R,108,H R 1559,3-Apr-2003,10:34 PM,On Agreeing to the Amendment,None,Failed,18,206,0,5,190,10,0,5,1,0,0,0,209,216,0,10
107,R,108,H R 1559,3-Apr-2003,10:41 PM,On Agreeing to the Amendment,None,Failed,32,191,0,6,80,121,0,4,1,0,0,0,113,312,0,10
108,R,108,H R 1559,3-Apr-2003,10:59 PM,On Passage,Emergency Wartime Supplemental Appropriations Act,Passed,222,2,0,5,192,9,0,4,0,1,0,0,414,12,0,9
