Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,114,2,PN11,"January 11, 2016,  05:32 PM",On the Nomination PN11,"Nomination Luis Felipe Restrepo, of Pennsylvania, to be U.S. Circuit Judge for the Third Circuit","Luis Felipe Restrepo, of Pennsylvania, to be United States Circuit Judge for the Third Circuit",Nomination Confirmed (82-6),'1/2',39,6,0,9,42,0,0,2,1,0,0,1,82,6,0,12,
2,114,2,S. 2232,"January 12, 2016,  02:31 PM",On Cloture on the Motion to Proceed S. 2232,Motion to Invoke Cloture on the Motion to Proceed to S. 2232,"A bill to require a full audit of the Board of Governors of the Federal Reserve System and the Federal reserve banks by the Comptroller General of the United States, and for other purposes.","Cloture on the Motion to Proceed Rejected (53-44, 3/5 majority required)",'3/5',51,1,0,2,1,42,0,1,1,1,0,0,53,44,0,3,
3,114,2,PN367,"January 19, 2016,  05:29 PM",On the Nomination PN367,"Confirmation Wilhelmina Marie Wright, of Minnesota, to be U.S. District Judge","Wilhelmina Marie Wright, of Minnesota, to be United States District Judge for the District of Minnesota",Nomination Confirmed (58-36),'1/2',13,36,0,5,44,0,0,0,1,0,0,1,58,36,0,6,
4,114,2,H.R. 4038,"January 20, 2016,  02:54 PM",On the Cloture Motion H.R. 4038,Motion to Invoke Cloture on the Motion to Proceed to H.R. 4038 ,"A bill to require that supplemental certifications and background investigations be completed prior to the admission of certain aliens as refugees, and for other purposes.","Cloture Motion Rejected (55-43, 3/5 majority required)",'3/5',53,0,0,1,2,42,0,0,0,1,0,1,55,43,0,2,
5,114,2,S.J.Res. 22,"January 21, 2016,  10:29 AM",On the Cloture Motion S.J.Res. 22,Motion to Invoke Cloture on the Veto Message to Accompany S.J. Res. 22,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Corps of Engineers and the Environmental Protection Agency relating to the definition of ""waters of the United States"" under the Federal Water Pollution Control Act.","Cloture Motion Rejected (52-40, 3/5 majority required)",'3/5',49,1,0,4,3,38,0,3,0,1,0,1,52,40,0,8,
6,114,2,PN326,"January 27, 2016,  05:30 PM",On the Nomination PN326,"Confirmation John Michael Vazquez, of New Jersey, to be U.S. District Judge for the District of New Jersey","John Michael Vazquez, of New Jersey, to be United States District Judge for the District of New Jersey",Nomination Confirmed (84-2),'1/2',44,2,0,8,39,0,0,5,1,0,0,1,84,2,0,14,
7,114,2,,"January 28, 2016,  11:59 PM",On the Amendment S.Amdt. 3021 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Crapo Amdt. No. 3021,"To enable civilian research and development of advanced nuclear energy technologies by private and public institutions, to expand theoretical and practical knowledge of nuclear physics, chemistry, and materials science.",Amendment Agreed to (87-4),'1/2',49,1,0,4,37,3,0,4,1,0,0,1,87,4,0,9,
8,114,2,,"January 28, 2016,  12:28 PM",On the Amendment S.Amdt. 2982 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Markey Amdt. No. 2982,To require the Comptroller General of the United States to conduct a review and submit a report on energy production in the United States and the effects of crude oil exports.,Amendment Agreed to (62-29),'1/2',20,29,0,5,41,0,0,3,1,0,0,1,62,29,0,9,
9,114,2,,"January 28, 2016,  01:46 PM",On the Amendment S.Amdt. 2965 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Schatz Amdt. No. 2965,To modify the funding provided for the Advanced Research Projects Agency-Energy.,Amendment Agreed to (55-37),'1/2',12,37,0,5,42,0,0,2,1,0,0,1,55,37,0,8,
10,114,2,,"February 2, 2016,  02:33 PM",On the Amendment S.Amdt. 3023 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Lee Amdt. No. 3023,To modify the authority of the President of the United States to declare national monuments.,"Amendment Rejected (47-48, 3/5 majority required)",'3/5',46,4,0,4,1,43,0,0,0,1,0,1,47,48,0,5,
11,114,2,,"February 2, 2016,  02:59 PM",On the Amendment S.Amdt. 3115 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Franken Amdt. No. 3115,To establish a Federal energy efficiency resource standard for electricity and natural gas suppliers.,"Amendment Rejected (43-52, 3/5 majority required)",'3/5',1,49,0,4,41,3,0,0,1,0,0,1,43,52,0,5,
12,114,2,,"February 2, 2016,  03:21 PM",On the Amendment S.Amdt. 3030 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Barrasso Amdt. No. 3030,To establish deadlines and expedite permits for certain natural gas gathering lines on Federal land and Indian land.,"Amendment Rejected (52-43, 3/5 majority required)",'3/5',50,0,0,4,2,42,0,0,0,1,0,1,52,43,0,5,
13,114,2,,"February 2, 2016,  03:41 PM",On the Amendment S.Amdt. 2996 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Sullivan Amdt. No. 2996,To require each agency to repeal or amend 1 or more rules before issuing or amending a rule.,"Amendment Rejected (49-46, 3/5 majority required)",'3/5',49,1,0,4,0,44,0,0,0,1,0,1,49,46,0,5,
14,114,2,,"February 2, 2016,  04:01 PM",On the Amendment S.Amdt. 3176 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Schatz Amdt. No. 3176,To amend the Internal Revenue Code of 1986 to phase out tax preferences for fossil fuels on the same schedule as the phase out of the tax credits for wind facilities.,"Amendment Rejected (45-50, 3/5 majority required)",'3/5',3,47,0,4,41,3,0,0,1,0,0,1,45,50,0,5,
15,114,2,,"February 2, 2016,  04:23 PM",On the Amendment S.Amdt. 3125 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Whitehouse Amdt. No. 3125,To require campaign finance disclosures for certain persons benefitting from fossil fuel activities.,"Amendment Rejected (43-52, 3/5 majority required)",'3/5',0,50,0,4,42,2,0,0,1,0,0,1,43,52,0,5,
16,114,2,,"February 4, 2016,  11:32 AM",On the Cloture Motion S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Motion to Invoke Cloture on Murkowski Amdt No. 2953,In the nature of a substitute.,"Cloture Motion Rejected (46-50, 3/5 majority required)",'3/5',40,12,0,2,5,38,0,1,1,0,0,1,46,50,1,3,
17,114,2,S. 2012,"February 4, 2016,  12:05 PM",On the Cloture Motion S. 2012,Motion to Invoke Cloture on S. 2012,"An original bill to provide for the modernization of the energy policy of the United States, and for other purposes.","Cloture Motion Rejected (43-54, 3/5 majority required)",'3/5',37,15,0,2,5,39,0,0,1,0,0,1,43,54,0,3,
18,114,2,PN831,"February 8, 2016,  05:31 PM",On the Nomination PN831,"Confirmation Rebecca Goodgame Ebinger, of Iowa, to be U.S. District Judge for the Southern District of Iowa","Rebecca Goodgame Ebinger, of Iowa, to be United States District Judge for the Southern District of Iowa",Nomination Confirmed (83-0),'1/2',41,0,0,13,41,0,0,3,1,0,0,1,83,0,0,17,
19,114,2,PN915,"February 9, 2016,  02:18 PM",On the Nomination PN915,"Confirmation Scot Alan Marciel, of California, to be Ambassador to the Union of Burma","Scot Alan Marciel, of California, to be Ambassador to the Union of Burma",Nomination Confirmed (90-0),'1/2',47,0,0,7,42,0,0,2,1,0,0,1,90,0,0,10,
20,114,2,H.R. 757,"February 10, 2016,  05:11 PM",On Passage of the Bill H.R. 757,H.R. 757 As Amended,"A bill to improve the enforcement of sanctions against the Government of North Korea, and for other purposes.",Bill Passed (96-0),'1/2',52,0,0,2,43,0,0,1,1,0,0,1,96,0,0,4,
