Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
250,111,2,S. 510,"November 17, 2010,  11:32 AM",On the Cloture Motion S. 510,Motion to Invoke Cloture on the Motion to Proceed to S. 510,"A bill to amend the Federal Food, Drug, and Cosmetic Act with respect to the safety of the food supply.","Cloture Motion Agreed to (74-25, 3/5 majority required)",'3/5',16,24,0,1,56,1,0,0,2,0,0,0,74,25,0,1,
251,111,2,S. 510,"November 18, 2010,  05:59 PM",On the Motion to Proceed S. 510,Motion to Proceed to S. 510,"A bill to amend the Federal Food, Drug, and Cosmetic Act with respect to the safety of the food supply.",Motion to Proceed Agreed to (57-27),'1/2',4,27,0,10,51,0,0,6,2,0,0,0,57,27,0,16,
252,111,2,,"November 29, 2010,  06:37 PM",On the Cloture Motion S.Amdt. 4715 to S. 510 (FDA Food Safety Modernization Act),Motion to Invoke Cloture on the Harkin Amdt. No. 4715,In the nature of a substitute.,"Cloture Motion Agreed to (69-26, 3/5 majority required)",'3/5',14,26,0,2,54,0,0,2,1,0,0,1,69,26,0,5,
253,111,2,,"November 29, 2010,  07:05 PM",On the Motion (Motion to Suspend Rule XXII Re: Johanns Amdt. No. 4702),Motion to Suspend Rule XXII Re: Johanns Amdt. No. 4702,"To repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.","Motion Rejected (61-35, 2/3 majority required)",'2/3',40,0,0,2,21,34,0,1,0,1,0,1,61,35,0,4,
254,111,2,,"November 29, 2010,  07:27 PM","On the Motion (Motion to Suspend Rule XXII Re: Baucus Amdt. No. 4713, As Modified)","Motion to Suspend Rule XXII Re: Baucus Amdt. No. 4713, As Modified","To repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.","Motion Rejected (44-53, 2/3 majority required)",'2/3',2,38,0,2,41,15,0,0,1,0,0,1,44,53,0,3,
255,111,2,,"November 30, 2010,  09:17 AM",On the Motion (Motion to Suspend Rule XXII Re: Coburn Amdt. No. 4697),Motion to Suspend Rule XXII Re: Coburn Amdt. No. 4697,"To establish an earmark moratorium for fiscal years 2011, 2012, and 2013.","Motion Rejected (39-56, 2/3 majority required)",'2/3',32,8,0,2,7,46,0,3,0,2,0,0,39,56,0,5,
256,111,2,,"November 30, 2010,  09:47 AM",On the Motion (Motion to Suspend Rule XXII Re: Coburn Amdt. No. 4696),Motion to Suspend Rule XXII Re: Coburn Amdt. No. 4696,"In the nature of a substitute, to modernize Federal food safety efforts without placing unnecessary burdens on food producers, increasing food prices, or saddling taxpayers with additional debt.","Motion Rejected (36-62, 2/3 majority required)",'2/3',36,4,0,2,0,56,0,0,0,2,0,0,36,62,0,2,
257,111,2,S. 510,"November 30, 2010,  10:09 AM",On Passage of the Bill S. 510,S. 510 as Amended,"A bill to amend the Federal Food, Drug, and Cosmetic Act with respect to the safety of the food supply.",Bill Passed (73-25),'1/2',15,25,0,2,56,0,0,0,2,0,0,0,73,25,0,2,
258,111,2,,"December 4, 2010,  10:30 AM","On the Cloture Motion S.Amdt. 4727 to H.R. 4853 (Airport and Airway Extension Act of 2010, Part III)",Motion to Invoke Cloture on Motion to Concur in the House Amdt. to Senate Amdt. With Amdt. No. 4727 to H.R. 4853,To change the enactment date.,"Cloture Motion Rejected (53-36, 3/5 majority required)",'3/5',0,31,0,11,52,4,0,0,1,1,0,0,53,36,0,11,
259,111,2,,"December 4, 2010,  10:57 AM","On the Cloture Motion S.Amdt. 4728 to S.Amdt. 4727 to H.R. 4853 (Airport and Airway Extension Act of 2010, Part III)",Motion to Invoke Cloture on Amdt. No. 4728,Of a perfecting nature.,"Cloture Motion Rejected (53-37, 3/5 majority required)",'3/5',0,32,0,10,52,4,0,0,1,1,0,0,53,37,0,10,
