Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,110,2,H.R. 4986,"January 22, 2008,  05:32 PM",On Passage of the Bill H.R. 4986,H.R.4986,"A bill to provide for the enactment of the National Defense Authorization Act for Fiscal Year 2008, as previously enrolled, with certain modifications to address the foreign sovereign immunities provisions of title 28, United States Code, with respect to the attachment of property in certain judgements against Iraq, the lapse of statutory authorities for the payment of bonuses, special pays, and similar benefits for members of the uniformed services, and for other purposes.",Bill Passed (91-3),'1/2',46,0,0,3,44,2,0,3,1,1,0,0,91,3,0,6,
2,110,2,S. 2248,"January 24, 2008,  02:03 PM",On the Motion to Table S. 2248,"Motion to Table Committee on the Judiciary Reported Substitute Amendment, as Modified, to S.2248","An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.",Motion to Table Agreed to (60-36),'1/2',47,0,0,2,12,35,0,2,1,1,0,0,60,36,0,4,
3,110,2,,"January 28, 2008,  04:43 PM",On the Cloture Motion S.Amdt. 3911 to S. 2248 (FISA Amendments Act of 2007),Motion to Invoke Cloture on Amdt. No. 3911 to S. 2248,In the nature of a substitute.,"Cloture Motion Rejected (48-45, 3/5 majority required)",'3/5',44,1,0,4,4,43,0,2,0,1,0,1,48,45,0,7,
4,110,2,,"January 28, 2008,  05:14 PM",On the Cloture Motion S.Amdt. 3918 to S. 2248 (FISA Amendments Act of 2007),Motion to Invoke Cloture on Amdt. No. 3918 to S. 2248,Relative to the extension of the Protect America Act of 2007.,"Cloture Motion Rejected (48-45, 3/5 majority required)",'3/5',0,45,0,4,47,0,0,2,1,0,0,1,48,45,0,7,
5,110,2,H.R. 5140,"February 4, 2008,  05:31 PM",On the Cloture Motion H.R. 5140,Motion To Invoke Cloture On The Motion To Proceed To Consider H.R. 5140,"A bill to provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.","Cloture Motion Agreed to (80-4, 3/5 majority required)",'3/5',37,4,0,8,42,0,0,7,1,0,0,1,80,4,0,16,
6,110,2,H.R. 5140,"February 5, 2008,  11:37 AM",On the Motion (Motion to Instruct Sgt. At Arms),Motion to Instruct Sgt. At Arms,"A bill to provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.",Motion Agreed to (73-12),'1/2',31,12,0,6,41,0,0,8,1,0,0,1,73,12,0,15,
7,110,2,,"February 6, 2008,  03:15 PM",On the Amendment S.Amdt. 3930 to S.Amdt. 3911 to S. 2248 (FISA Amendments Act of 2007),Cardin Amdt No. 3930,To modify the sunset provision.,"Amendment Rejected (49-46, 3/5 majority required)",'3/5',0,46,0,3,48,0,0,1,1,0,0,1,49,46,0,5,
8,110,2,,"February 6, 2008,  05:46 PM",On the Cloture Motion S.Amdt. 3983 to H.R. 5140 (Recovery Rebates and Economic Stimulus for the American People Act of 2008),Motion To Invoke Cloture On The Reid Amdt No. 3983,Of a perfecting nature.,"Cloture Motion Rejected (58-41, 3/5 majority required)",'3/5',8,40,0,1,48,1,0,0,2,0,0,0,58,41,0,1,
9,110,2,,"February 7, 2008,  04:11 PM",On the Amendment S.Amdt. 4010 to H.R. 5140 (Economic Stimulus Act of 2008),Reid Amdt. No. 4010,To revise the eligibility criteria for the 2008 recovery rebates for individuals.,Amendment Agreed to (91-6),'1/2',43,6,0,0,46,0,0,3,2,0,0,0,91,6,0,3,
10,110,2,H.R. 5140,"February 7, 2008,  04:36 PM",On Passage of the Bill H.R. 5140,H.R. 5140 As Amended,"A bill to provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.",Bill Passed (81-16),'1/2',33,16,0,0,46,0,0,3,2,0,0,0,81,16,0,3,
