Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,114,QUORUM,5-Jan-2016,6:57 PM,Call of the House,None,Passed,0,0,231,15,0,0,166,22,0,0,0,0,0,0,397,37
2,R,114,H RES 579,6-Jan-2016,3:30 PM,On Ordering the Previous Question,Providing for consideration of the Senate amendment to the bill (H.R. 3762) to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2016,Passed,238,0,0,7,1,175,0,12,0,0,0,0,239,175,0,19
3,R,114,H RES 579,6-Jan-2016,3:40 PM,On Agreeing to the Resolution,Providing for consideration of the Senate amendment to the bill (H.R. 3762) to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2016,Passed,237,0,0,8,0,177,0,11,0,0,0,0,237,177,0,19
4,R,114,H RES 580,6-Jan-2016,3:48 PM,On Ordering the Previous Question,Providing for consideration of the bill (H.R. 712) Sunshine for Regulatory Decrees and Settlements Act of 2015 and providing for consideration of the bill (H.R. 1155) Searching for and Cutting Regulations that are Unnecessarily Burdensome Act of 2015,Passed,240,0,0,5,1,176,0,11,0,0,0,0,241,176,0,16
5,R,114,H RES 580,6-Jan-2016,3:57 PM,On Agreeing to the Resolution,Providing for consideration of the bill (H.R. 712) Sunshine for Regulatory Decrees and Settlements Act of 2015 and providing for consideration of the bill (H.R. 1155) Searching for and Cutting Regulations that are Unnecessarily Burdensome Act of 2015,Passed,238,0,0,7,1,176,0,11,0,0,0,0,239,176,0,18
6,R,114,H R 3762,6-Jan-2016,5:54 PM,On Motion to Concur in the Senate Amendment,An Act to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2016,Passed,239,3,0,4,1,178,0,9,0,0,0,0,240,181,0,13
7,R,114,H R 712,7-Jan-2016,3:41 PM,On Agreeing to the Amendment,None,Failed,0,240,0,5,175,2,0,11,0,0,0,0,175,242,0,16
8,R,114,H R 712,7-Jan-2016,3:46 PM,On Agreeing to the Amendment,None,Failed,0,241,0,4,174,3,0,11,0,0,0,0,174,244,0,15
9,R,114,H R 712,7-Jan-2016,3:50 PM,On Agreeing to the Amendment,None,Failed,5,233,0,7,175,2,0,11,0,0,0,0,180,235,0,18
10,R,114,H R 712,7-Jan-2016,3:53 PM,On Agreeing to the Amendment,None,Failed,0,239,0,6,173,2,0,13,0,0,0,0,173,241,0,19
