Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,116,QUORUM,7-Jan-2020,6:55 PM,Call of the House,None,Passed,0,0,179,19,0,0,204,28,0,0,1,0,0,0,384,47
2,D,116,H RES 779,8-Jan-2020,5:02 PM,On Ordering the Previous Question,"Providing for consideration of the bill (H.R. 535) to require the Administrator of the Environmental Protection Agency to designate per- and polyfluoroalkyl substances as hazardous substances under the Comprehensive Environmental Response, Compensation, and Liability Act of 1980",Passed,0,192,0,6,225,0,0,6,0,1,0,0,225,193,0,12
3,D,116,H RES 779,8-Jan-2020,5:12 PM,On Agreeing to the Resolution,"Providing for consideration of the bill (H.R. 535) to require the Administrator of the Environmental Protection Agency to designate per- and polyfluoroalkyl substances as hazardous substances under the Comprehensive Environmental Response, Compensation, and Liability Act of 1980",Passed,0,190,0,8,217,8,0,6,0,1,0,0,217,199,0,14
4,D,116,H R 2881,8-Jan-2020,5:24 PM,"On Motion to Suspend the Rules and Pass, as Amended",Secure 5G and Beyond Act,Passed,188,2,0,8,225,0,0,6,0,1,0,0,413,3,0,14
5,D,116,H RES 781,9-Jan-2020,2:13 PM,On Ordering the Previous Question,"Providing for consideration of H. Con. Res. 83, directing the President pursuant to section 5(c) of the War Powers Resolution to terminate the use of United States Armed Forces to engage in hostilities in or against Iran",Passed,1,190,0,7,226,0,0,5,0,1,0,0,227,191,0,12
6,D,116,H RES 781,9-Jan-2020,2:22 PM,On Agreeing to the Resolution,"Providing for consideration of H. Con. Res. 83, directing the President pursuant to section 5(c) of the War Powers Resolution to terminate the use of United States Armed Forces to engage in hostilities in or against Iran",Passed,1,191,0,6,225,1,0,5,0,1,0,0,226,193,0,11
7,D,116,H CON RES 83,9-Jan-2020,6:01 PM,On Agreeing to the Resolution,Directing the President pursuant to section 5(c) of the War Powers Resolution to terminate the use of United States Armed Forces to engage in hostilities in or against Iran,Passed,3,186,0,9,220,8,0,4,1,0,0,0,224,194,0,13
8,D,116,H R 5078,9-Jan-2020,6:10 PM,"On Motion to Suspend the Rules and Pass, as Amended",Prison to Proprietorship Act,Passed,145,40,0,13,225,0,0,6,0,1,0,0,370,41,0,19
9,D,116,H R 535,10-Jan-2020,10:33 AM,On Agreeing to the Amendment,None,Failed,158,22,0,20,2,225,0,8,1,0,0,0,161,247,0,28
10,D,116,H R 535,10-Jan-2020,10:38 AM,On Agreeing to the Amendment,None,Failed,167,13,0,20,2,226,0,7,1,0,0,0,170,239,0,27
