Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,105,QUORUM,27-Jan-1998,12:38 PM,Call of the House,None,Passed,0,0,195,32,0,0,168,35,0,0,1,0,0,0,364,67
2,R,105,H RES 341,28-Jan-1998,2:04 PM,On Motion to Table,Relating to a question of the privileges of the House.,Passed,213,1,0,12,1,187,0,15,0,1,0,0,214,189,0,27
3,R,105,H RES 344,4-Feb-1998,11:34 AM,On Ordering the Previous Question,"Providing for the consideration of H.R. 2625, to redesignate Washington National Airport as “Ronald Reagan Washington National Airport”",Passed,222,0,0,4,5,188,0,10,0,1,0,0,227,189,0,14
4,R,105,H R 2625,4-Feb-1998,3:08 PM,On Agreeing to the Amendment,None,Failed,10,214,0,3,195,1,0,7,1,0,0,0,206,215,0,10
5,R,105,H R 2625,4-Feb-1998,3:43 PM,On Motion to Recommit with Instructions,To Redesignate Washington National Airport as “Ronald Reagan Washington National Airport”.,Failed,0,223,0,4,185,14,0,4,1,0,0,0,186,237,0,8
6,R,105,H R 2625,4-Feb-1998,3:54 PM,On Passage,To Redesignate Washington National Airport as “Ronald Reagan Washington National Airport”.,Passed,222,3,0,2,18,182,0,3,0,1,0,0,240,186,0,5
7,R,105,H J RES 107,4-Feb-1998,6:45 PM,On Passage,"A Resolution Concerning Attorneys’ Fees, Costs, and Sanctions Payable by the White House Health Care Task Force",Passed,209,3,0,14,64,122,0,17,0,1,0,0,273,126,0,31
8,R,105,H RES 348,5-Feb-1998,11:21 AM,On Ordering the Previous Question,Providing for the consideration of H.R. 2846,Passed,214,0,0,12,6,184,0,13,0,1,0,0,220,185,0,25
9,R,105,H R 2846,5-Feb-1998,12:50 PM,On Passage,Prohibition on Federal Education Funds on National Testing,Passed,217,2,0,7,25,171,0,7,0,1,0,0,242,174,0,14
10,R,105,H R 2631,5-Feb-1998,1:45 PM,"Passage, Objections of the President Notwithstanding",Disapproving the cancellations on Military Construction,Passed,197,23,0,6,149,46,0,8,1,0,0,0,347,69,0,14
