Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,115,QUORUM,8-Jan-2018,6:53 PM,Call of the House,None,Passed,0,0,206,32,0,0,151,42,0,0,0,0,0,0,357,74
2,R,115,H RES 676,9-Jan-2018,4:17 PM,On Motion to Suspend the Rules and Agree,"Supporting the rights of the people of Iran to free expression, condemning the Iranian regime for its crackdown on legitimate protests, and for other purposes",Passed,233,2,0,3,182,0,0,11,0,0,0,0,415,2,0,14
3,R,115,H R 4564,9-Jan-2018,4:25 PM,On Motion to Suspend the Rules and Pass,Post-Caliphate Threat Assessment Act of 2017,Passed,235,0,0,3,178,0,0,15,0,0,0,0,413,0,0,18
4,R,115,H R 4581,9-Jan-2018,4:33 PM,On Motion to Suspend the Rules and Pass,Screening and Vetting Passenger Exchange Act,Passed,234,1,0,3,181,0,0,12,0,0,0,0,415,1,0,15
5,R,115,ADJOURN,10-Jan-2018,12:39 PM,On Motion to Adjourn,None,Failed,0,215,0,23,51,116,0,26,0,0,0,0,51,331,0,49
6,R,115,ADJOURN,10-Jan-2018,1:16 PM,On Motion to Adjourn,None,Failed,0,216,0,22,54,95,0,44,0,0,0,0,54,311,0,66
7,R,115,ADJOURN,10-Jan-2018,1:46 PM,On Motion to Adjourn,None,Failed,1,213,0,24,61,111,0,21,0,0,0,0,62,324,0,45
8,R,115,H RES 682,10-Jan-2018,4:13 PM,On Agreeing to the Resolution,"Providing for consideration of the bill (S. 139) to implement the use of Rapid DNA instruments to inform decisions about pretrial release or detention and their conditions, to solve and prevent violent crimes and other crimes, to exonerate the innocent, to prevent DNA analysis backlongs, and for other purposes",Passed,231,2,0,5,2,179,0,12,0,0,0,0,233,181,0,17
9,R,115,H RES 681,10-Jan-2018,4:33 PM,On Ordering the Previous Question,Providing for consideration of the bill (S. 140) to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund,Passed,234,0,0,4,0,181,0,12,0,0,0,0,234,181,0,16
10,R,115,H RES 681,10-Jan-2018,4:41 PM,On Agreeing to the Resolution,Providing for consideration of the bill (S. 140) to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund,Passed,227,0,0,11,0,181,0,12,0,0,0,0,227,181,0,23
11,R,115,S 140,10-Jan-2018,6:09 PM,On Passage,To amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund,Passed,216,15,0,7,23,158,0,12,0,0,0,0,239,173,0,19
12,R,115,H R 4567,10-Jan-2018,6:16 PM,"On Motion to Suspend the Rules and Pass, as Amended",DHS Overseas Personnel Enhancement Act of 2017,Passed,232,0,0,6,183,0,0,10,0,0,0,0,415,0,0,16
13,R,115,JOURNAL,10-Jan-2018,6:23 PM,On Approving the Journal,None,Passed,146,85,0,7,85,93,1,14,0,0,0,0,231,178,1,21
14,R,115,S 139,11-Jan-2018,11:16 AM,On Agreeing to the Amendment,None,Failed,58,178,0,3,125,55,0,13,0,0,0,0,183,233,0,16
15,R,115,S 139,11-Jan-2018,11:32 AM,On Motion to Commit with Instructions,Rapid DNA Act of 2017,Failed,6,227,0,5,183,0,0,10,0,0,0,0,189,227,0,15
16,R,115,S 139,11-Jan-2018,11:39 AM,On Passage,Rapid DNA Act of 2017,Passed,191,45,0,3,65,119,0,9,0,0,0,0,256,164,0,12
17,R,115,H R 4578,11-Jan-2018,11:45 AM,On Motion to Suspend the Rules and Pass,Counter Terrorist Network Act,Passed,228,2,0,8,182,0,0,11,0,0,0,0,410,2,0,19
18,R,115,H R 4318,16-Jan-2018,6:53 PM,"On Motion to Suspend the Rules and Pass, as Amended",Miscellaneous Tariff Bill Act of 2018,Passed,222,0,0,15,180,0,0,13,0,0,0,0,402,0,0,28
19,R,115,S 117,16-Jan-2018,7:02 PM,On Motion to Suspend the Rules and Pass,Alex Diekmann Peak Designation Act of 2017,Passed,219,3,0,15,181,0,0,12,0,0,0,0,400,3,0,27
20,R,115,H RES 693,17-Jan-2018,1:35 PM,On Ordering the Previous Question,Providing for consideration of the bill (H.R. 3326) the World Bank Accountability Act; and providing for consideration of the bill (H.R. 2954) the Home Mortgage Disclosure Adjustment Act,Passed,230,0,0,7,0,187,0,6,0,0,0,0,230,187,0,13
21,R,115,H RES 693,17-Jan-2018,1:45 PM,On Agreeing to the Resolution,Providing for consideration of the bill (H.R. 3326) the World Bank Accountability Act; and providing for consideration of the bill (H.R. 2954) the Home Mortgage Disclosure Adjustment Act,Passed,228,0,0,9,0,188,0,5,0,0,0,0,228,188,0,14
22,R,115,H R 4258,17-Jan-2018,1:54 PM,"On Motion to Suspend the Rules and Pass, as Amended",Family Self-Sufficiency Act,Passed,224,5,0,8,188,0,0,5,0,0,0,0,412,5,0,13
23,R,115,H R 3326,17-Jan-2018,5:26 PM,On Agreeing to the Amendment,None,Agreed to,231,0,0,6,189,0,0,4,0,0,0,0,420,0,0,10
24,R,115,H R 3326,17-Jan-2018,5:37 PM,On Passage,World Bank Accountability Act of 2017,Passed,216,16,0,5,21,168,0,4,0,0,0,0,237,184,0,9
25,R,115,H R 4279,17-Jan-2018,5:44 PM,"On Motion to Suspend the Rules and Pass, as Amended",Expanding Investment Opportunities Act,Passed,230,1,0,6,188,1,0,4,0,0,0,0,418,2,0,10
26,R,115,JOURNAL,17-Jan-2018,5:52 PM,On Approving the Journal,None,Passed,143,86,0,8,82,99,1,11,0,0,0,0,225,185,1,19
27,R,115,H RES 696,18-Jan-2018,2:58 PM,On Ordering the Previous Question,"Providing for consideration of the Senate amendment to H.R. 195, the Federal Register Printing Savings Act of 2017; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules; and providing for consideration of motions to suspend the rules",Passed,229,0,0,8,0,191,0,2,0,0,0,0,229,191,0,10
28,R,115,H RES 696,18-Jan-2018,3:06 PM,On Agreeing to the Resolution,"Providing for consideration of the Senate amendment to H.R. 195, the Federal Register Printing Savings Act of 2017; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules; and providing for consideration of motions to suspend the rules",Passed,226,3,0,8,0,191,0,2,0,0,0,0,226,194,0,10
29,R,115,H RES 694,18-Jan-2018,3:14 PM,On Ordering the Previous Question,"Providing for consideration of H.R. 4712, the Born-Alive Abortion Survivors Protection Act; providing for proceedings during the period from January 22, 2018, through January 26, 2018",Passed,229,0,0,8,0,190,0,3,0,0,0,0,229,190,0,11
30,R,115,H RES 694,18-Jan-2018,3:22 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 4712, the Born-Alive Abortion Survivors Protection Act; providing for proceedings during the period from January 22, 2018, through January 26, 2018",Passed,226,1,0,10,2,188,0,3,0,0,0,0,228,189,0,13
31,R,115,H R 2954,18-Jan-2018,7:23 PM,On Motion to Recommit with Instructions,Home Mortgage Disclosure Adjustment Act,Failed,1,234,0,2,190,2,0,1,0,0,0,0,191,236,0,3
32,R,115,H R 2954,18-Jan-2018,7:30 PM,On Passage,Home Mortgage Disclosure Adjustment Act,Passed,234,1,0,2,9,183,0,1,0,0,0,0,243,184,0,3
33,R,115,H R 195,18-Jan-2018,7:36 PM,On Motion to Concur in the Senate Amendment with an Amendment,Federal Register Printing Savings Act,Passed,224,11,0,3,6,186,0,1,0,0,0,0,230,197,0,4
34,R,115,H R 1660,18-Jan-2018,7:43 PM,On Motion to Suspend the Rules and Pass,Global Health Innovation Act of 2017,Passed,231,3,0,3,192,0,0,1,0,0,0,0,423,3,0,4
35,R,115,H RES 705,19-Jan-2018,11:16 AM,On Motion to Table,"Impeaching Donald John Trump, President of the United States, of high misdemeanors",Passed,234,0,0,3,121,66,3,3,0,0,0,0,355,66,3,6
36,R,115,H R 4712,19-Jan-2018,11:26 AM,On Passage,Born-Alive Abortion Survivors Protection Act,Passed,235,0,0,2,6,183,0,4,0,0,0,0,241,183,0,6
37,R,115,ADJOURN,19-Jan-2018,11:43 AM,On Motion to Adjourn,None,Failed,1,231,0,5,0,187,1,5,0,0,0,0,1,418,1,10
38,R,115,MOTION,20-Jan-2018,12:29 PM,On Ordering a Call of the House,None,Passed,205,0,0,32,19,150,10,14,0,0,0,0,224,150,10,46
39,R,115,QUORUM,20-Jan-2018,12:45 PM,Call of the House,None,Passed,0,0,205,32,0,0,172,21,0,0,0,0,0,0,377,53
40,R,115,H RES 708,20-Jan-2018,5:11 PM,Table Appeal of the Ruling of the Chair,"Waiving a Requirement of Clause 6(A) of Rule XIII with Respect to Consideration of Certain Resolutions Reported from the Committee on Rules, and Providing for Consideration of Motions to Suspend the Rules",Passed,218,0,0,19,6,173,2,12,0,0,0,0,224,173,2,31
41,R,115,H RES 708,20-Jan-2018,6:48 PM,On Ordering the Previous Question,"Waiving a Requirement of Clause 6(A) of Rule XIII with Respect to Consideration of Certain Resolutions Reported from the Committee on Rules, and Providing for Consideration of Motions to Suspend the Rules",Passed,224,0,0,13,0,180,0,13,0,0,0,0,224,180,0,26
42,R,115,H RES 708,20-Jan-2018,6:54 PM,On Agreeing to the Resolution,"Waiving a Requirement of Clause 6(A) of Rule XIII with Respect to Consideration of Certain Resolutions Reported from the Committee on Rules, and Providing for Consideration of Motions to Suspend the Rules",Passed,222,1,0,14,13,169,0,11,0,0,0,0,235,170,0,25
43,R,115,MOTION,20-Jan-2018,7:10 PM,On Motion to Fix the Convening Time,None,Passed,219,0,0,18,175,0,0,18,0,0,0,0,394,0,0,36
44,R,115,H R 195,22-Jan-2018,6:09 PM,On Motion to Concur in the Senate Adt to the House Adt to the Senate Adt,Federal Register Printing Savings Act,Passed,221,6,0,10,45,144,0,4,0,0,0,0,266,150,0,14
45,R,115,S 534,29-Jan-2018,6:57 PM,"On Motion to Suspend the Rules and Pass, as Amended",Protecting Young Victims from Sexual Abuse and Safe Sport Authorization Act,Passed,225,3,0,9,181,0,0,12,0,0,0,0,406,3,0,21
46,R,115,H R 1457,29-Jan-2018,7:06 PM,"On Motion to Suspend the Rules and Pass, as Amended","To establish requirements for use of a driver’s license or personal identification card by certain financial institutions for opening an account or obtaining a financial product or service, and for other purposes",Passed,219,8,0,10,178,0,0,15,0,0,0,0,397,8,0,25
47,R,115,H RES 714,30-Jan-2018,1:43 PM,On Ordering the Previous Question,"Providing for consideration of the Senate amendments to H.R. 695, the Child Protection Improvements Act of 2017",Passed,232,0,0,5,0,187,0,6,0,0,0,0,232,187,0,11
48,R,115,H RES 714,30-Jan-2018,1:52 PM,On Agreeing to the Resolution,"Providing for consideration of the Senate amendments to H.R. 695, the Child Protection Improvements Act of 2017",Passed,231,2,0,4,5,181,0,7,0,0,0,0,236,183,0,11
49,R,115,H R 695,30-Jan-2018,3:11 PM,On Motion to Concur in the Senate Amendments with an Amendment,Child Protection Improvements Act of 2017,Passed,227,4,0,6,23,162,0,8,0,0,0,0,250,166,0,14
50,R,115,H R 4292,30-Jan-2018,3:20 PM,"On Motion to Suspend the Rules and Pass, as Amended",Financial Institution Living Will Improvement Act,Passed,231,0,0,6,183,0,0,10,0,0,0,0,414,0,0,16
51,R,115,H R 4547,5-Feb-2018,6:55 PM,"On Motion to Suspend the Rules and Pass, as Amended",Strengthening Protections for Social Security Beneficiaries Act of 2018,Passed,225,0,0,12,171,0,0,22,0,0,0,0,396,0,0,34
52,R,115,JOURNAL,5-Feb-2018,7:02 PM,On Approving the Journal,None,Passed,145,78,0,14,87,81,1,24,0,0,0,0,232,159,1,38
53,R,115,H RES 726,6-Feb-2018,11:26 AM,On Motion to Table,Raising a question of the privileges of the House,Passed,231,0,0,6,0,187,0,6,0,0,0,0,231,187,0,12
54,R,115,H RES 725,6-Feb-2018,11:34 AM,On Ordering the Previous Question,"Providing for consideration of H.R. 772, the Common Sense Nutrition Disclosure Act of 2017; H.R. 1153, the Mortgage Choice Act of 2017; H.R. 4771, the Small Bank Holding Company Relief Act of 2018; and for other purposes",Passed,231,1,0,5,0,187,0,6,0,0,0,0,231,188,0,11
55,R,115,H RES 725,6-Feb-2018,11:41 AM,On Agreeing to the Resolution,"Providing for consideration of H.R. 772, the Common Sense Nutrition Disclosure Act of 2017; H.R. 1153, the Mortgage Choice Act of 2017; H.R. 4771, the Small Bank Holding Company Relief Act of 2018; and for other purposes",Passed,229,2,0,6,2,184,0,7,0,0,0,0,231,186,0,13
56,R,115,H R 772,6-Feb-2018,4:36 PM,On Passage,Common Sense Nutrition Disclosure Act of 2017,Passed,234,1,0,2,32,156,1,4,0,0,0,0,266,157,1,6
57,R,115,MOTION,6-Feb-2018,5:03 PM,Table Appeal of the Ruling of the Chair,None,Passed,236,0,0,1,0,190,0,3,0,0,0,0,236,190,0,4
58,R,115,H RES 727,6-Feb-2018,5:11 PM,On Ordering the Previous Question,"Providing for consideration of the Senate amendment to the bill (H.R. 1892) to amend title 4, United States Code, to provide for the flying of the flag at half-staff in the event of the death of a first responder in the line of duty",Passed,235,0,0,2,0,189,0,4,0,0,0,0,235,189,0,6
59,R,115,H RES 727,6-Feb-2018,5:18 PM,On Agreeing to the Resolution,"Providing for consideration of the Senate amendment to the bill (H.R. 1892) to amend title 4, United States Code, to provide for the flying of the flag at half-staff in the event of the death of a first responder in the line of duty",Passed,232,3,0,2,4,185,0,4,0,0,0,0,236,188,0,6
60,R,115,H R 1892,6-Feb-2018,6:55 PM,On Motion to Concur in the Senate Amendment with an Amendment,"Further Extension of Continuing Appropriations Act, 2018",Passed,228,8,0,1,17,174,0,2,0,0,0,0,245,182,0,3
61,R,115,H R 3851,7-Feb-2018,7:06 PM,"On Motion to Suspend the Rules and Pass, as Amended",War Crimes Rewards Expansion Act,Passed,224,0,0,13,183,0,0,10,0,0,0,0,407,0,0,23
62,R,115,H R 1997,7-Feb-2018,7:16 PM,"On Motion to Suspend the Rules and Pass, as Amended",Ukraine Cybersecurity Cooperation Act of 2017,Passed,220,3,0,14,184,0,0,9,0,0,0,0,404,3,0,23
63,R,115,JOURNAL,7-Feb-2018,7:24 PM,On Approving the Journal,None,Passed,130,89,0,18,80,96,3,14,0,0,0,0,210,185,3,32
64,R,115,H R 1153,8-Feb-2018,10:57 AM,On Passage,Mortgage Choice Act of 2017,Passed,228,0,0,9,52,131,0,10,0,0,0,0,280,131,0,19
65,R,115,JOURNAL,8-Feb-2018,11:04 AM,On Approving the Journal,None,Passed,128,96,0,13,80,98,2,13,0,0,0,0,208,194,2,26
66,R,115,H R 4771,8-Feb-2018,4:43 PM,On Passage,Small Bank Holding Company Relief Act of 2018,Passed,230,0,0,7,50,139,0,4,0,0,0,0,280,139,0,11
67,R,115,H RES 734,9-Feb-2018,4:31 AM,On Ordering the Previous Question,"Providing for consideration of the Senate Amendment to the House Amendment to the Senate Amendment to H.R. 1892, the Bipartisan Budget Act of 2018",Passed,224,0,0,13,0,186,0,7,0,0,0,0,224,186,0,20
68,R,115,H RES 734,9-Feb-2018,4:39 AM,On Agreeing to the Resolution,"Providing for consideration of the Senate Amendment to the House Amendment to the Senate Amendment to H.R. 1892, the Bipartisan Budget Act of 2018",Passed,221,7,0,9,3,186,0,4,0,0,0,0,224,193,0,13
69,R,115,H R 1892,9-Feb-2018,5:32 AM,On Motion to Concur in the Senate Amdt to the House Amdt to the Senate Amdt,The Bipartisan Budget Act of 2018,Passed,167,67,0,4,73,119,0,1,0,0,0,0,240,186,0,5
